,County,Jurisdiction,Num_RecyclingProg_2007,Target_ResPPD_2007,Annual_ResPPD_2007,Target_EmpPPD_2007,Annual_EmpPPD_2007,Num_RecyclingProg_2008,Target_ResPPD_2008,Annual_ResPPD_2008,Target_EmpPPD_2008,Annual_EmpPPD_2008,Num_RecyclingProg_2009,Target_ResPPD_2009,Annual_ResPPD_2009,Target_EmpPPD_2009,Annual_EmpPPD_2009,Num_RecyclingProg_2010,Target_ResPPD_2010,Annual_ResPPD_2010,Target_EmpPPD_2010,Annual_EmpPPD_2010,Num_RecyclingProg_2011,Target_ResPPD_2011,Annual_ResPPD_2011,Target_EmpPPD_2011,Annual_EmpPPD_2011,Num_RecyclingProg_2012,Target_ResPPD_2012,Annual_ResPPD_2012,Target_EmpPPD_2012,Annual_EmpPPD_2012,Num_RecyclingProg_2013,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Population,Male,Female,MedianAgeYears,MaleMedianAgeYears,FemaleMedianAgeYears,AverageHouseholdSize,AverageFamilySize,PersonsUnder5Years,PersonsUnder18Years,PersonsAge21Plus,PersonsAge55Plus,PersonsAge60Plus,PersonsAge65Plus,PercentPopulationFemale,PercentPopulationLessThan18,PopulationR,TotalPopulationOfOneRace,White,BlackOrAfricanAmerican,AmericanIndianAndAlaskaNative,TotalAsian,AsianIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,OtherAsian,TotalNHOPI,NativeHawaiian,GuamanianOrChamorro,Samoan,OtherPacificIslander,SomeOtherRace,TotalPopulationInHouseholds,Householder,Spouse,Children,ChildrenOwnChildUnder18y,OtherRelatives,OtherRelativesUnder18y,NonRelatives,NonRelativesUnmarriedPartner,MedianAge,MedianHouseholdIncome,MeanHouseholdIncome,PercentBachDegHghr
38,Contra Costa,Brentwood,43,5.8,5.0,35.0,32.6,43,5.8,3.9,35.0,27.1,43,5.8,3.4,35.0,26.5,43,5.8,3.3,35.0,23.4,43,5.8,3.1,35.0,19.0,43,5.8,3.1,35.0,17.9,43,5.8,3.2,35.0,18.1,51481,24969,26512,35.6,34.3,36.7,3.11,3.47,3607,16058,33369,10185,7915,5875,51.50,31.20,51481,47908,34969,3389,333,4051,441,492,2159,141,166,224,428,202,45,54,28,75,4964,51335,16494,10560,18807,14662,3305,1151,2169,935,38.6,78756.0,106018.0,39.0
39,San Mateo,Brisbane,44,16.9,11.1,7.9,5.2,45,16.9,9.8,7.9,5.0,45,16.9,7.9,7.9,4.4,45,16.9,7.0,7.9,4.8,45,16.9,6.8,7.9,4.6,45,16.9,8.3,7.9,5.8,45,16.9,7.0,7.9,5.2,4282,2148,2134,41.7,41.9,41.5,2.34,2.94,284,825,3376,1124,725,429,49.80,19.30,4282,3986,2578,80,21,1084,52,456,335,64,45,45,87,41,6,0,21,14,182,4266,1821,808,1017,746,234,56,386,187,39.3,88202.0,126129.0,44.4
40,Santa Barbara,Buellton,46,7.7,7.2,18.6,15.0,46,7.7,7.1,18.6,14.3,47,7.7,6.0,18.6,12.2,42,7.7,4.9,18.6,11.3,43,7.7,5.3,18.6,10.8,42,7.7,5.2,18.6,10.0,42,7.7,4.2,18.6,7.7,4828,2359,2469,39.1,37.6,40.2,2.74,3.23,320,1228,3419,1223,887,637,51.10,25.40,4828,4591,3912,37,76,137,9,33,15,15,26,14,25,5,1,4,0,0,424,4828,1761,1008,1532,1135,259,78,268,103,33.5,62779.0,88230.0,31.3
41,Orange,Buena Park,34,6.3,5.7,17.4,14.8,34,6.3,5.4,17.4,14.1,34,6.3,4.8,17.4,13.6,34,6.3,4.3,17.4,12.6,34,6.3,4.3,17.4,11.8,34,6.3,4.2,17.4,11.1,34,6.3,4.3,17.4,11.6,80530,39730,40800,35.1,33.5,36.5,3.37,3.67,5240,20361,56293,16826,12112,8551,50.70,25.30,80530,76398,36454,3073,862,21488,2054,1495,6767,636,7806,1317,1413,455,62,80,173,140,14066,79716,23686,13570,26970,16547,10403,3236,5087,1333,36.4,75422.0,101134.0,36.8
42,Los Angeles,Burbank,37,7.6,5.8,6.1,4.5,37,7.6,5.6,6.1,4.1,37,7.6,4.9,6.1,4.2,37,7.6,4.5,6.1,3.4,37,7.6,4.1,6.1,2.9,37,7.6,4.2,6.1,3.1,37,7.6,4.0,6.1,3.0,103340,49971,53369,38.9,37.8,40.0,2.45,3.13,5134,20488,79136,25151,18912,13794,51.60,19.80,103340,98348,75167,2600,486,12007,1502,1090,4835,716,2140,673,1051,89,28,13,14,34,7999,102767,41940,18388,28492,18611,7274,1626,6673,2573,35.1,55909.0,81416.0,29.7
43,San Mateo,Burlingame,43,8.3,7.3,6.6,5.8,43,8.3,6.8,6.6,5.3,43,8.3,6.0,6.6,4.9,43,8.3,6.1,6.6,5.4,43,8.3,6.2,6.6,5.6,43,8.3,6.4,6.6,5.5,43,8.3,5.5,6.6,4.4,28806,13680,15126,40.5,39.8,41.2,2.29,3.02,1877,6256,21980,7491,5586,4046,52.50,21.70,28806,27375,19510,360,74,5841,486,2879,1167,471,375,91,372,139,29,7,17,86,1451,28357,12361,5735,7661,5997,1139,208,1461,728,39.3,88202.0,126129.0,44.4
44,Butte,Butte County Regional Waste Management Authority,42,4.9,4.9,24.9,26.7,43,4.9,4.3,27.1,25.8,43,4.9,3.9,27.1,25.3,43,4.9,4.1,27.1,33.2,43,4.9,3.9,27.1,27.5,42,4.9,4.1,27.1,28.3,42,4.9,4.3,27.1,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,43752.0,59081.0,24.4
45,Los Angeles,Calabasas,34,17.2,16.1,29.0,25.2,35,17.2,14.9,29.0,23.8,35,17.2,10.8,29.0,18.8,35,17.2,10.1,29.0,19.3,35,17.2,10.3,29.0,17.8,35,17.2,10.5,29.0,18.0,36,17.2,10.0,29.0,16.5,23058,11147,11911,41.6,40.8,42.2,2.7,3.11,1131,5841,16470,6146,4277,2903,51.70,25.30,23058,22133,19341,375,48,1993,457,524,203,160,411,74,164,8,5,1,1,1,368,23049,8543,5124,7548,5663,805,144,1029,341,35.1,55909.0,81416.0,29.7
46,Calaveras,Calaveras County Regional Agency,42,4.0,5.9,20.1,29.9,42,4.0,4.7,20.1,24.4,42,4.0,4.1,20.1,23.1,42,4.0,4.4,20.1,29.8,42,4.0,4.2,20.1,25.8,42,4.0,4.0,20.1,23.8,42,4.0,3.9,20.1,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,55295.0,70161.0,21.2
47,Kern,California City,39,3.7,4.5,49.6,35.3,35,3.7,3.1,49.6,27.7,38,3.7,3.6,49.6,35.8,39,3.7,3.3,49.6,42.1,39,3.7,3.7,49.6,36.8,39,3.7,2.9,49.6,28.0,39,3.7,2.7,49.6,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,48552.0,64677.0,15.0
48,Riverside,Calimesa,36,4.8,4.6,17.3,22.9,36,4.8,4.2,17.3,23.0,36,4.8,3.7,17.3,21.8,36,4.8,3.7,17.3,22.2,36,4.8,3.8,17.3,24.7,36,4.8,3.7,17.3,23.4,36,4.8,3.7,17.3,20.6,7879,3784,4095,48.8,46.7,50.7,2.36,2.94,361,1414,6207,3159,2590,2040,52.00,17.90,7879,7639,6777,88,99,100,11,10,18,14,22,4,21,10,1,1,6,2,565,7828,3314,1609,1936,1189,531,185,438,184,33.9,56529.0,73752.0,20.5
49,Ventura,Camarillo,41,7.7,4.6,14.1,8.7,41,7.7,4.2,14.1,7.9,41,7.7,3.9,14.1,7.7,47,7.7,3.7,14.1,8.0,47,7.7,3.6,14.1,7.6,47,7.7,4.0,14.1,8.3,48,7.7,4.2,14.1,8.7,65201,31535,33666,40.8,39.1,42.6,2.64,3.14,3690,15115,47783,19191,14931,11202,51.60,23.20,65201,62083,48947,1216,397,6633,795,1070,2437,777,614,451,489,116,23,48,24,21,4774,64705,24504,13565,19145,13647,3815,1189,3676,1257,36.6,76544.0,98869.0,31.4
50,Santa Clara,Campbell,40,5.2,4.7,8.3,7.6,40,5.2,4.4,8.3,7.5,40,5.2,3.8,8.3,7.0,40,5.2,3.9,8.3,8.1,39,5.2,3.8,8.3,7.3,40,5.2,4.0,8.3,7.1,41,5.2,4.1,8.3,7.0,39349,19298,20051,38.3,37.3,39.3,2.42,3.05,2584,8271,29926,8762,6203,4394,51.00,21.00,39349,36942,26315,1158,275,6320,957,1819,735,698,734,913,464,161,33,27,30,71,2713,39148,16163,7133,10371,7579,2393,564,3088,1230,36.4,91702.0,120718.0,46.5
51,Riverside,Canyon Lake,32,4.8,4.1,43.0,37.7,32,4.8,3.5,43.0,31.0,32,4.8,3.2,43.0,34.1,32,4.8,3.6,43.0,42.1,32,4.8,3.4,43.0,39.8,32,4.8,3.1,43.0,34.5,32,4.8,3.3,43.0,32.9,10561,5266,5295,44.0,43.4,44.7,2.68,2.99,517,2287,7849,3294,2461,1803,50.10,21.70,10561,10226,9495,128,61,190,12,46,54,25,15,14,24,36,10,4,6,16,316,10552,3935,2510,3031,2041,535,206,541,241,33.9,56529.0,73752.0,20.5
52,Santa Cruz,Capitola,35,6.3,4.6,8.1,5.9,35,6.3,4.3,8.1,5.6,35,6.3,4.2,8.1,6.0,35,6.3,4.5,8.1,6.6,35,6.3,4.3,8.1,6.1,36,6.3,4.3,8.1,6.0,35,6.3,4.3,8.1,5.7,9918,4721,5197,41.9,39.1,44.7,2.11,2.78,501,1643,7872,3084,2236,1539,52.40,16.60,9918,9448,7963,123,59,424,52,64,141,44,33,29,61,10,4,3,1,2,869,9770,4626,1515,2158,1512,390,96,1081,394,36.9,66519.0,88776.0,37.0
53,San Diego,Carlsbad,43,8.4,7.0,13.1,10.8,43,8.4,6.5,13.1,10.2,44,8.4,5.8,13.1,9.7,44,8.4,5.6,13.1,10.0,44,8.4,5.7,13.1,9.6,44,8.4,5.7,13.1,9.5,42,8.4,6.5,13.1,10.9,105328,51485,53843,40.4,39.3,41.5,2.53,3.03,6308,25366,77145,27984,20843,14798,51.10,24.10,105328,100945,87205,1379,514,7460,1195,2011,1225,852,926,675,576,198,56,45,51,46,4189,104413,41345,22657,30273,23914,3876,995,6262,2333,34.8,62962.0,84889.0,34.6
54,Monterey,Carmel-by-the-Sea,45,15.9,11.6,23.2,16.6,46,15.9,10.6,23.2,21.1,46,15.9,8.0,23.2,18.0,46,15.9,8.6,23.2,13.2,46,15.9,7.5,23.2,11.3,46,15.9,7.5,23.2,11.7,46,15.9,7.6,23.2,12.1,3722,1626,2096,59.2,59.0,59.3,1.78,2.39,84,381,3282,2155,1789,1328,56.30,10.20,3722,3645,3464,11,8,111,10,22,16,49,9,0,5,6,4,0,1,1,45,3722,2095,831,508,343,82,25,206,101,33.0,59168.0,79378.0,23.0
55,Santa Barbara,Carpinteria,39,8.7,5.4,21.6,11.9,40,8.7,5.5,21.6,12.3,40,8.7,5.0,21.6,11.5,41,8.7,5.3,21.6,13.3,41,8.7,4.4,21.6,10.7,43,8.7,4.6,21.6,10.7,45,8.7,4.3,21.6,9.7,13040,6429,6611,39.5,37.2,41.7,2.74,3.23,761,2791,9692,3593,2625,1799,50.70,21.40,13040,12511,9348,109,144,296,37,35,47,82,30,25,40,15,9,1,1,4,2599,13021,4759,2305,3574,2354,1128,340,1255,321,33.5,62779.0,88230.0,31.3
56,Los Angeles,Carson,48,19.3,12.8,37.3,24.4,48,19.3,14.8,37.3,28.1,48,19.3,15.2,37.3,30.6,49,19.3,15.2,37.3,30.7,49,19.3,15.7,37.3,29.8,49,19.3,15.9,37.3,29.7,50,19.3,14.4,37.3,25.1,91714,43922,47792,37.6,35.7,39.3,3.56,3.9,5265,21992,65099,23530,17668,12640,52.10,24.00,91714,87297,21864,21856,518,23522,275,431,20092,730,754,325,915,2386,109,148,1982,147,17151,90411,25432,14178,30195,15933,15709,5458,4897,1142,35.1,55909.0,81416.0,29.7
57,Riverside,Cathedral City,41,6.9,5.2,31.7,23.1,41,6.9,5.1,31.7,23.6,41,6.9,4.4,31.7,23.5,41,6.9,4.5,31.7,27.2,41,6.9,4.2,31.7,25.0,41,6.9,4.3,31.7,25.9,41,6.9,4.1,31.7,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,56529.0,73752.0,20.5
58,Los Angeles,Cerritos,35,6.2,7.2,8.6,9.6,35,6.2,5.2,8.6,7.1,35,6.2,4.3,8.6,6.4,35,6.2,5.0,8.6,7.4,35,6.2,3.9,8.6,5.4,35,6.2,4.1,8.6,5.6,35,6.2,4.0,8.6,5.9,49041,23577,25464,44.0,42.4,45.3,3.15,3.4,1935,10013,37267,16307,12587,8671,51.90,20.40,49041,47183,11341,3388,131,30363,3771,7383,7155,1533,7240,1021,2260,138,35,49,33,21,1822,48937,15526,10843,15690,8588,5511,1313,1367,342,35.1,55909.0,81416.0,29.7
59,Butte,Chico,41,6.2,6.1,11.4,12.1,41,6.2,5.7,11.4,11.5,41,6.2,4.7,11.4,10.2,42,6.2,4.8,11.4,11.1,42,6.2,4.7,11.4,10.6,42,6.2,4.7,11.4,10.6,43,6.2,4.6,11.4,10.2,86187,42706,43481,28.6,27.4,30.0,2.38,2.97,4907,16771,60230,17369,12842,9178,50.40,19.50,86187,81847,69606,1771,1167,3656,325,614,419,293,174,164,1667,210,44,48,40,78,5437,83009,34805,11745,19249,15261,3334,1030,13876,3101,37.0,43752.0,59081.0,24.4
60,San Bernardino,Chino,42,9.4,7.2,17.4,13.4,42,9.4,6.3,17.4,11.9,42,9.4,5.2,17.4,11.0,42,9.4,5.9,17.4,12.4,42,9.4,5.2,17.4,10.8,42,9.4,5.1,17.4,11.1,42,9.4,5.2,17.4,11.2,77983,40071,37912,33.2,32.4,34.0,3.41,3.72,5226,19737,54553,13301,8916,5671,48.60,25.30,77983,74426,43981,4829,786,8159,626,2391,2821,244,606,537,934,168,35,33,62,38,16503,70919,20772,12426,25252,16144,8438,3126,4031,1332,31.9,54090.0,69091.0,18.7
61,San Bernardino,Chino Hills,38,3.7,2.7,38.4,23.5,38,3.7,3.0,38.4,24.8,38,3.7,2.6,38.4,21.1,38,3.7,2.8,38.4,21.1,38,3.7,2.8,38.4,19.5,39,3.7,2.6,38.4,17.2,39,3.7,2.6,38.4,16.2,74799,36955,37844,36.6,35.6,37.5,3.25,3.54,4355,20291,51193,13655,8669,5265,50.60,27.10,74799,71140,38035,3415,379,22676,2003,7367,6277,660,3401,996,1972,115,36,25,28,26,6520,74644,22941,15840,27103,18269,6042,1598,2718,976,31.9,54090.0,69091.0,18.7
62,Madera,Chowchilla,32,5.0,4.3,53.7,42.2,32,5.0,3.7,53.7,36.2,32,5.0,3.5,53.7,35.9,30,5.0,3.6,53.7,41.6,30,5.0,3.6,53.7,32.3,30,5.0,3.5,53.7,26.3,31,5.0,2.7,53.7,14.0,18720,5602,13118,34.7,30.1,35.8,3.08,3.52,1004,3583,14469,2732,1864,1317,70.10,19.10,18720,18012,11533,2358,376,395,161,33,104,12,21,16,48,37,5,3,18,11,3313,11311,3673,1932,4102,3091,976,415,628,299,33.2,45625.0,60240.0,13.6
63,San Diego,Chula Vista,47,5.3,4.7,22.8,19.7,47,5.3,4.2,22.8,17.4,47,5.3,4.0,22.8,17.4,47,5.3,3.6,22.8,17.3,47,5.3,3.6,22.8,15.8,47,5.3,3.5,22.8,15.3,47,5.3,3.5,22.8,14.9,243916,118145,125771,33.7,32.1,35.2,3.21,3.6,17471,68126,164434,46968,34324,24439,51.60,27.90,243916,229654,130991,11219,1880,35042,582,1688,26597,1951,2028,888,1308,1351,155,780,237,179,49171,242180,75515,42153,85326,58019,27226,8857,11960,4222,34.8,62962.0,84889.0,34.6
64,Los Angeles,Claremont,41,5.3,4.2,13.8,10.6,41,5.3,4.4,13.8,11.1,41,5.3,3.8,13.8,10.2,41,5.3,3.5,13.8,11.0,41,5.3,3.4,13.8,9.2,41,5.3,3.3,13.8,8.6,41,5.3,3.6,13.8,9.0,34926,16389,18537,38.6,36.5,40.0,2.57,3.1,1297,6459,24648,10062,7784,5770,53.10,18.50,34926,33106,24666,1651,172,4564,571,1608,428,289,767,390,511,38,6,5,7,20,2015,29802,11608,6305,8675,5856,1639,507,1575,567,35.1,55909.0,81416.0,29.7
65,Contra Costa,Clayton,41,4.1,3.7,39.2,34.6,41,4.1,3.6,39.2,32.5,42,4.1,2.9,39.2,27.8,42,4.1,3.1,39.2,34.2,42,4.1,2.9,39.2,29.0,42,4.1,2.9,39.2,28.3,42,4.1,3.0,39.2,26.9,10897,5262,5635,45.0,44.6,45.4,2.72,3.04,468,2662,7906,3316,2428,1602,51.70,24.40,10897,10420,9273,146,34,717,96,161,217,95,58,22,68,16,4,7,0,5,234,10887,4006,2795,3381,2507,374,134,331,172,38.6,78756.0,106018.0,39.0
66,Lake,Clearlake,36,4.3,5.4,22.6,28.1,36,4.3,4.5,22.6,23.3,36,4.3,3.7,22.6,20.1,36,4.3,3.9,22.6,25.0,37,4.3,3.7,22.6,21.8,37,4.3,3.0,22.6,17.8,44,4.3,2.5,22.6,13.8,15250,7622,7628,39.9,38.4,41.2,2.48,3.11,1078,3656,10898,4352,3258,2293,50.00,24.00,15250,14269,11262,614,400,161,19,30,52,17,5,6,32,27,18,1,5,3,1805,14790,5970,1957,4046,2981,1199,477,1618,721,45.1,36548.0,51573.0,16.2
67,Fresno,Clovis,31,4.7,3.9,15.5,12.1,31,4.7,3.1,15.5,9.8,31,4.7,3.8,15.5,12.9,31,4.7,4.1,15.5,15.8,31,4.7,3.4,15.5,12.3,31,4.7,3.3,15.5,12.3,31,4.7,3.0,15.5,10.9,95631,46140,49491,34.1,32.7,35.4,2.85,3.32,6899,26851,64553,20309,14759,10107,51.80,28.10,95631,91004,67758,2618,1320,10233,1553,937,1826,660,318,721,4218,218,49,57,55,57,8857,95243,33419,17975,32483,24185,6178,2160,5188,2183,30.9,45563.0,63079.0,19.6
68,Riverside,Coachella,40,5.7,4.8,24.6,21.7,41,5.7,4.2,24.6,19.8,41,5.7,3.7,24.6,17.9,41,5.7,3.2,24.6,18.7,42,5.7,2.9,24.6,16.3,41,5.7,2.5,24.6,16.1,41,5.7,2.5,24.6,18.0,40704,20284,20420,24.5,24.0,25.0,4.52,4.57,4488,15786,22618,4028,2734,1827,50.20,38.80,40704,39640,19576,320,290,266,17,18,188,8,3,24,8,34,3,10,13,8,19154,40646,8998,5583,17569,12667,6556,2856,1940,871,33.9,56529.0,73752.0,20.5
69,Fresno,Coalinga,42,3.8,3.2,24.3,22.6,43,3.8,3.4,24.3,21.0,43,3.8,2.8,24.3,17.7,43,3.8,2.0,24.3,10.9,44,3.8,2.8,24.3,11.8,44,3.8,2.9,24.3,11.9,44,3.8,2.8,24.3,17.0,13380,7382,5998,31.9,32.6,30.9,3.02,3.49,1070,3763,8883,2351,1612,1053,44.80,28.10,13380,12834,7734,549,171,407,52,88,137,40,13,12,65,36,15,0,13,8,3937,11752,3896,1913,4300,3299,960,411,683,357,30.9,45563.0,63079.0,19.6
70,Placer,Colfax,27,8.4,5.5,24.2,13.7,27,8.4,5.8,24.2,14.4,27,8.4,5.9,24.2,16.5,28,8.4,6.1,24.2,21.1,29,8.4,4.1,24.2,14.6,29,8.4,2.8,24.2,10.0,29,8.4,3.3,24.2,12.4,1963,942,1021,37.9,34.8,40.4,2.38,2.98,146,499,1389,490,344,224,52.00,25.40,1963,1874,1759,4,26,29,9,9,7,2,0,1,1,2,2,0,0,0,54,1958,823,334,592,456,73,25,136,70,40.4,72725.0,91628.0,35.1
71,San Mateo,Colma,32,37.1,23.8,12.5,9.2,32,37.1,21.0,12.5,8.4,32,37.1,13.0,12.5,5.4,32,37.1,15.1,12.5,7.1,32,37.1,15.6,12.5,6.9,32,37.1,11.7,12.5,5.1,32,37.1,9.8,12.5,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,88202.0,126129.0,44.4
72,San Bernardino,Colton,34,7.7,5.8,22.1,16.3,34,7.7,5.2,22.1,15.4,35,7.7,3.9,22.1,13.5,34,7.7,4.7,22.1,17.8,34,7.7,3.9,22.1,15.4,34,7.7,3.6,22.1,11.5,34,7.7,4.0,22.1,11.8,52154,25549,26605,28.4,27.6,29.1,3.46,3.86,4885,16671,32771,7928,5408,3663,51.00,32.00,52154,49508,22613,5055,661,2590,257,197,943,73,149,308,663,176,29,24,67,56,18413,51824,14971,7167,19284,13297,7132,3034,3270,1374,31.9,54090.0,69091.0,18.7
73,Colusa,Colusa County Regional Agency,28,7.5,5.8,18.9,15.0,28,7.5,6.0,18.9,15.8,28,7.5,5.2,18.9,14.5,28,7.5,5.8,18.9,16.9,28,7.5,5.4,18.9,13.7,28,7.5,5.6,18.9,12.7,28,7.5,4.4,18.9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,52158.0,63743.0,13.8
74,Los Angeles,Commerce,40,41.5,40.5,11.2,10.7,40,49.7,40.8,13.9,11.2,40,49.7,30.5,13.9,8.9,40,49.7,25.0,13.9,7.4,40,49.7,24.4,13.9,7.1,40,49.7,38.2,13.9,10.7,41,49.7,27.8,13.9,8.2,12823,6295,6528,31.2,29.8,32.7,3.77,4.17,1030,3824,8349,2482,1861,1370,50.90,29.80,12823,12222,6930,96,161,140,17,22,58,19,8,1,15,9,2,0,3,4,4886,12753,3382,1693,4794,2879,2101,804,783,271,35.1,55909.0,81416.0,29.7
75,Los Angeles,Compton,29,5.8,6.4,23.8,25.0,29,5.8,6.4,23.8,24.1,29,5.8,4.9,23.8,19.0,29,5.8,4.6,23.8,19.4,29,5.8,4.9,23.8,19.1,29,5.8,4.7,23.8,18.1,34,5.8,4.8,23.8,20.2,96455,46946,49509,28.0,26.9,29.2,4.15,4.41,8871,31945,59056,14456,10158,7198,51.30,33.10,96455,93209,24942,31688,655,292,31,18,137,23,13,23,47,718,9,6,624,79,34914,95700,23062,10536,36054,22674,19096,8063,6952,1883,35.1,55909.0,81416.0,29.7
76,Contra Costa,Concord,40,5.7,5.9,12.1,12.6,40,5.7,5.0,12.1,11.0,40,5.7,4.4,12.1,10.5,40,5.7,3.5,12.1,9.4,40,5.7,3.4,12.1,9.0,41,5.7,3.3,12.1,8.7,41,5.7,3.6,12.1,10.0,122067,60659,61408,37.0,35.4,38.6,2.73,3.22,8306,28000,89558,28708,20934,14384,50.30,22.90,122067,114313,78767,4371,852,13538,1628,2901,5333,749,686,799,1442,816,88,90,121,517,15969,121020,44278,21725,35011,24543,10001,2831,10005,3464,38.6,78756.0,106018.0,39.0
77,,Consolidated Waste Management Authority,41,6.2,5.0,17.7,14.4,41,6.2,4.4,17.7,12.9,43,6.2,3.9,17.7,12.1,43,6.2,3.9,17.7,13.6,43,6.2,3.9,17.7,11.8,45,6.2,3.7,17.7,11.5,45,6.2,3.7,17.7,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Contra Costa,Contra Costa/Ironhouse/Oakley Regional Agency,51,3.9,3.2,21.6,18.4,51,3.9,3.1,21.6,18.0,51,3.9,2.7,21.6,16.5,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,78756.0,106018.0,39.0
79,Riverside,Corona,40,8.6,7.9,18.6,15.6,40,8.6,7.1,18.6,14.6,40,8.6,6.0,18.6,14.0,40,8.6,5.7,18.6,15.7,40,8.6,5.7,18.6,14.9,40,8.6,5.6,18.6,14.6,40,8.6,5.7,18.6,14.3,152374,75035,77339,32.5,31.3,33.5,3.38,3.72,11325,45674,99431,24498,17056,11180,50.80,30.00,152374,144615,90925,8934,1153,15048,2436,1445,4570,465,1756,2215,2161,552,101,127,161,163,28003,151863,44950,27357,55746,39316,15548,5455,8262,2979,33.9,56529.0,73752.0,20.5
80,San Diego,Coronado,43,12.0,11.6,43.9,32.0,43,12.0,11.4,43.9,31.0,43,12.0,10.0,43.9,27.9,43,12.0,11.9,43.9,39.1,43,12.0,11.0,43.9,34.0,43,12.0,9.2,43.9,28.9,43,12.0,9.9,43.9,24.1,18912,9792,9120,40.7,35.7,44.8,2.31,2.89,898,3859,14188,5866,4642,3479,48.20,20.40,18912,18254,16668,399,103,572,26,104,245,74,40,30,53,55,15,13,2,25,457,17094,7409,3900,4684,3732,451,109,650,262,34.8,62962.0,84889.0,34.6
81,Orange,Costa Mesa,30,8.5,6.8,11.3,8.7,31,8.5,6.2,11.3,7.9,31,8.5,5.1,11.3,7.5,31,8.5,6.1,11.3,9.3,31,8.5,5.8,11.3,8.2,31,8.5,5.3,11.3,7.5,31,8.5,5.1,11.3,7.1,109960,55968,53992,33.6,33.0,34.1,2.68,3.3,7191,23682,81220,20262,14525,10114,49.10,21.50,109960,104834,75335,1640,686,8654,617,1105,1814,1312,730,2255,821,527,140,42,86,259,17992,106990,39946,16478,28220,20225,8797,2517,13549,3294,36.4,75422.0,101134.0,36.8
82,Los Angeles,Covina,32,6.1,5.9,13.4,12.6,31,6.1,5.0,13.4,10.9,31,6.1,4.4,13.4,10.0,31,6.1,4.5,13.4,11.4,29,6.1,4.1,13.4,9.6,29,6.1,4.1,13.4,9.4,29,6.1,3.7,13.4,8.9,47796,23076,24720,35.7,33.9,37.5,2.99,3.43,3028,11896,33576,10619,7810,5570,51.70,24.90,47796,45500,27937,2013,532,5684,433,1482,2213,375,177,387,617,104,39,19,25,21,9230,47361,15855,7931,15891,9966,4941,1703,2743,1072,35.1,55909.0,81416.0,29.7
83,Los Angeles,Cudahy,38,3.9,4.1,48.8,49.0,38,3.9,3.9,48.8,48.6,38,3.9,3.4,48.8,42.9,38,3.9,3.6,48.8,36.9,38,3.9,3.3,48.8,32.2,38,3.9,3.3,48.8,32.6,38,3.9,3.3,48.8,33.5,23805,11801,12004,27.0,26.0,27.7,4.24,4.32,2182,8325,14125,2751,1910,1222,50.40,35.00,23805,22787,11708,333,246,137,13,17,45,6,11,6,39,24,1,11,12,0,10339,23797,5607,2941,9799,6751,3816,1399,1634,631,35.1,55909.0,81416.0,29.7
84,Los Angeles,Culver City,30,8.9,7.8,8.3,6.4,30,8.9,8.4,8.3,6.9,30,8.9,6.3,8.3,5.4,30,8.9,5.6,8.3,4.9,30,8.9,5.6,8.3,4.6,35,8.9,5.6,8.3,4.6,35,8.9,6.1,8.3,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,55909.0,81416.0,29.7
85,Santa Clara,Cupertino,40,4.3,3.5,8.1,6.0,40,4.3,3.4,8.1,5.8,40,4.3,3.1,8.1,5.3,40,4.3,2.9,8.1,5.6,40,4.3,2.7,8.1,4.7,40,4.3,2.6,8.1,4.3,40,4.3,3.3,8.1,5.5,58302,28771,29531,39.9,39.6,40.2,2.87,3.28,3173,16075,40584,13217,9749,7281,50.70,27.60,58302,56350,18270,344,117,36895,13179,16578,535,1951,2709,745,1198,54,13,21,8,12,670,57965,20181,13802,19216,15604,2899,357,1867,467,36.4,91702.0,120718.0,46.5
86,Orange,Cypress,35,9.0,7.1,20.5,14.5,36,9.0,6.9,20.5,13.8,36,9.0,6.6,20.5,13.8,36,9.0,6.3,20.5,14.1,36,9.0,6.9,20.5,14.9,37,9.0,6.0,20.5,13.5,38,9.0,6.5,20.5,14.9,47802,23182,24620,39.9,38.2,41.2,3.02,3.35,2369,11343,34228,11715,8629,6161,51.50,23.70,47802,45442,26000,1444,289,14978,1117,2163,2783,1179,5698,939,1099,234,33,94,80,27,2497,47300,15654,9602,16061,9970,4073,1198,1910,592,36.4,75422.0,101134.0,36.8
