,County,Jurisdiction,Num_RecyclingProg_2007,Target_ResPPD_2007,Annual_ResPPD_2007,Target_EmpPPD_2007,Annual_EmpPPD_2007,Num_RecyclingProg_2008,Target_ResPPD_2008,Annual_ResPPD_2008,Target_EmpPPD_2008,Annual_EmpPPD_2008,Num_RecyclingProg_2009,Target_ResPPD_2009,Annual_ResPPD_2009,Target_EmpPPD_2009,Annual_EmpPPD_2009,Num_RecyclingProg_2010,Target_ResPPD_2010,Annual_ResPPD_2010,Target_EmpPPD_2010,Annual_EmpPPD_2010,Num_RecyclingProg_2011,Target_ResPPD_2011,Annual_ResPPD_2011,Target_EmpPPD_2011,Annual_EmpPPD_2011,Num_RecyclingProg_2012,Target_ResPPD_2012,Annual_ResPPD_2012,Target_EmpPPD_2012,Annual_EmpPPD_2012,Num_RecyclingProg_2013,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Population,Male,Female,MedianAgeYears,MaleMedianAgeYears,FemaleMedianAgeYears,AverageHouseholdSize,AverageFamilySize,PersonsUnder5Years,PersonsUnder18Years,PersonsAge21Plus,PersonsAge55Plus,PersonsAge60Plus,PersonsAge65Plus,PercentPopulationFemale,PercentPopulationLessThan18,PopulationR,TotalPopulationOfOneRace,White,BlackOrAfricanAmerican,AmericanIndianAndAlaskaNative,TotalAsian,AsianIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,OtherAsian,TotalNHOPI,NativeHawaiian,GuamanianOrChamorro,Samoan,OtherPacificIslander,SomeOtherRace,TotalPopulationInHouseholds,Householder,Spouse,Children,ChildrenOwnChildUnder18y,OtherRelatives,OtherRelativesUnder18y,NonRelatives,NonRelativesUnmarriedPartner,MedianAge,MedianHouseholdIncome,MeanHouseholdIncome,PercentBachDegHghr
18,Placer,Auburn,36,7.4,6.8,10.6,10.1,36,7.4,5.7,10.6,8.4,41,7.4,5.5,10.6,8.8,42,7.4,5.1,10.6,11.1,43,7.4,5.3,10.6,10.9,43,7.4,4.6,10.6,9.4,43,7.4,5.2,10.6,10.1,13330,6296,7034,45.4,43.1,47.5,2.27,2.85,681,2645,10226,4644,3504,2532,52.80,19.80,13330,12746,11863,100,129,240,28,69,52,48,16,3,24,9,5,1,0,3,405,13052,5759,2613,3256,2384,546,190,878,385,40.4,72725.0,91628.0,35.1
19,Los Angeles,Avalon,25,7.1,5.4,14.7,10.9,25,7.1,5.0,14.7,10.5,25,7.1,5.4,14.7,12.5,25,7.1,5.1,14.7,12.8,25,7.1,3.7,14.7,9.2,27,7.1,4.4,14.7,11.9,26,7.1,6.2,14.7,10.5,3728,1890,1838,37.7,36.9,38.5,2.53,3.25,258,960,2625,928,628,406,49.30,25.80,3728,3554,2313,20,22,49,2,18,13,4,3,0,9,13,0,8,0,5,1137,3721,1473,641,1109,855,253,96,245,115,35.1,55909.0,81416.0,29.7
20,Kings,Avenal,41,4.4,3.4,25.9,16.9,41,4.4,2.8,25.9,14.8,41,4.4,2.5,25.9,13.1,41,4.4,3.4,25.9,18.1,41,4.4,3.7,25.9,21.0,41,4.4,2.8,25.9,18.5,42,4.4,2.9,25.9,18.2,15505,11228,4277,34.2,36.8,25.0,4.09,4.26,1097,3315,11581,1803,1080,618,27.60,21.40,15505,15157,6044,1625,186,108,24,11,31,6,4,5,27,6,0,0,1,5,7188,9082,2222,1236,3627,2729,1245,541,752,247,31.1,48133.0,63130.0,12.9
21,Los Angeles,Azusa,29,6.3,5.9,18.7,17.2,29,6.3,5.6,18.7,17.0,29,6.3,4.6,18.7,13.9,29,6.3,4.3,18.7,13.4,29,6.3,4.0,18.7,11.5,29,6.3,4.2,18.7,12.7,29,6.3,4.2,18.7,14.1,46361,22704,23657,29.3,28.5,30.1,3.43,3.85,3488,12407,29927,7537,5278,3576,51.00,26.80,46361,44187,26715,1499,562,4054,325,743,1887,225,286,177,411,87,23,15,23,26,11270,43559,12716,6310,15024,9866,6006,2184,3503,995,35.1,55909.0,81416.0,29.7
22,Kern,Bakersfield,43,5.4,5.5,14.2,13.8,43,5.4,5.0,14.2,13.1,43,5.4,4.5,14.2,12.7,43,5.4,4.4,14.2,14.3,43,5.4,4.3,14.2,12.7,43,5.4,4.3,14.2,12.5,42,5.4,3.9,14.2,11.2,347483,170196,177287,30.0,29.0,31.0,3.1,3.56,31344,109479,221089,60361,42902,29336,51.00,31.50,347483,330415,197349,28368,5102,21432,7328,1816,7046,551,1352,1140,2199,478,132,111,104,131,77686,344088,111132,57276,124094,93851,31712,13050,19874,9004,30.8,48552.0,64677.0,15.0
23,Los Angeles,Baldwin Park,38,5.0,3.8,26.2,16.8,39,5.0,3.9,26.2,17.0,39,5.0,3.6,26.2,16.9,39,5.0,4.9,26.2,23.0,39,5.0,4.5,26.2,19.0,39,5.0,3.7,26.2,15.4,39,5.0,3.7,26.2,14.9,75390,37401,37989,30.5,29.3,31.7,4.36,4.45,5905,22571,48800,12985,9133,6059,50.40,29.90,75390,72566,33119,913,674,10696,62,3900,3439,122,119,1895,1159,85,12,15,24,34,27079,74984,17189,10097,27038,15829,15205,5802,5455,1196,35.1,55909.0,81416.0,29.7
24,Riverside,Banning,36,6.1,5.5,30.7,29.7,36,6.1,5.2,30.7,29.8,36,6.1,4.4,30.7,27.6,36,6.1,4.1,30.7,30.9,36,6.1,4.1,30.7,29.8,36,6.1,4.1,30.7,27.2,36,6.1,4.2,30.7,29.8,29603,14300,15303,42.3,38.5,45.9,2.61,3.19,1840,6777,21591,10824,9265,7661,51.70,22.90,29603,28162,19164,2165,641,1549,26,64,312,61,82,16,988,39,11,4,16,8,4604,28238,10838,5106,7836,5406,2785,1182,1673,775,33.9,56529.0,73752.0,20.5
25,San Bernardino,Barstow,36,8.9,7.3,30.6,23.0,36,8.9,6.0,30.6,18.4,34,8.9,4.4,30.6,14.1,34,8.9,5.4,30.6,18.0,34,8.9,5.6,30.6,17.7,35,8.9,5.0,30.6,16.3,35,8.9,5.3,30.6,16.5,22639,11296,11343,31.1,29.9,32.2,2.75,3.34,2089,6739,14792,4680,3421,2419,50.10,29.80,22639,20873,11840,3313,477,723,28,80,375,60,99,19,62,278,15,121,124,18,4242,22271,8085,3182,7544,5677,1944,906,1516,759,31.9,54090.0,69091.0,18.7
26,Riverside,Beaumont,37,9.7,5.6,42.1,31.5,37,9.7,4.8,42.1,30.4,39,9.7,4.2,42.1,27.6,39,9.7,3.5,42.1,27.6,39,9.7,3.6,42.1,26.7,39,9.7,3.5,42.1,25.0,39,9.7,3.7,42.1,24.2,36877,17985,18892,32.5,31.8,33.1,3.08,3.44,3369,11121,24414,7707,5769,3889,51.20,30.20,36877,34969,23163,2276,544,2845,186,362,1206,92,261,170,568,83,19,37,8,19,6058,36403,11801,7152,12397,9584,3186,1210,1867,873,33.9,56529.0,73752.0,20.5
27,Los Angeles,Bell,37,3.5,3.8,16.6,18.2,37,3.5,3.3,16.6,15.3,37,3.5,2.9,16.6,16.4,37,3.5,3.3,16.6,19.8,37,3.5,2.8,16.6,14.0,37,3.5,2.8,16.6,14.1,38,3.5,2.8,16.6,8.4,35477,17887,17590,28.9,28.2,29.5,3.93,4.15,3122,11363,22211,5116,3555,2396,49.60,32.00,35477,33916,19098,337,315,259,20,20,116,12,54,11,26,8,5,1,2,0,13899,34898,8870,4659,13771,9213,5408,1939,2190,888,35.1,55909.0,81416.0,29.7
