,Id,Id2,Total; Estimate; Workers 16 years and over,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Estimate; PLACE OF WORK - Worked in state of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked in county of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked outside county of residence,Total; Estimate; PLACE OF WORK - Worked outside state of residence,Total; Estimate; Living in a place,Total; Estimate; Living in a place - Worked in place of residence,Total; Estimate; Living in a place - Worked outside place of residence,Total; Estimate; Not living in a place,Total; Estimate; Living in 12 selected states,Total; Estimate; Living in 12 selected states - Worked in minor civil division of residence,Total; Estimate; Living in 12 selected states - Worked outside minor civil division of residence,Total; Estimate; Not living in 12 selected states,Total; Estimate; Workers 16 years and over who did not work at home,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 12:00 a.m. to 4:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:00 a.m. to 5:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:30 a.m. to 5:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:00 a.m. to 6:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:30 a.m. to 6:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:00 a.m. to 7:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:30 a.m. to 7:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:00 a.m. to 8:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:30 a.m. to 8:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 9:00 a.m. to 11:59 p.m.,Total; Estimate; TRAVEL TIME TO WORK - Less than 10 minutes,Total; Estimate; TRAVEL TIME TO WORK - 10 to 14 minutes,Total; Estimate; TRAVEL TIME TO WORK - 15 to 19 minutes,Total; Estimate; TRAVEL TIME TO WORK - 20 to 24 minutes,Total; Estimate; TRAVEL TIME TO WORK - 25 to 29 minutes,Total; Estimate; TRAVEL TIME TO WORK - 30 to 34 minutes,Total; Estimate; TRAVEL TIME TO WORK - 35 to 44 minutes,Total; Estimate; TRAVEL TIME TO WORK - 45 to 59 minutes,Total; Estimate; TRAVEL TIME TO WORK - 60 or more minutes,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - No vehicle available,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - 1 vehicle available,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - 2 vehicles available,Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households - 3 or more vehicles available,Total; Estimate; PERCENT IMPUTED - Means of transportation to work,Total; Estimate; PERCENT IMPUTED - Private vehicle occupancy,Total; Estimate; PERCENT IMPUTED - Place of work,Total; Estimate; PERCENT IMPUTED - Time leaving home to go to work,Total; Estimate; PERCENT IMPUTED - Travel time to work,Total; Estimate; PERCENT IMPUTED - Vehicles available,County,Jurisdiction
347,0600000US0610393690,610393690,1383,79.6,67.8,11.9,11.7,0.1,0.0,1.08,0.1,4.0,0.0,6.1,10.1,98.1,78.2,20.0,1.9,43.8,7.3,36.5,56.2,0.0,0.0,0.0,100.0,1243,12.3,5.1,7.3,15.4,4.7,11.4,16.7,6.4,2.7,17.9,14.9,10.5,11.1,8.2,7.8,21.4,3.8,3.2,19.1,32.2,1383,0.5,14.8,40.6,44.0,7.2,10.0,8.4,24.5,19.9,0.9,Tehama,West Tehama
348,0600000US0610591250,610591250,946,96.0,77.9,18.1,15.3,1.1,1.7,1.11,2.2,1.8,0.0,0.0,0.0,100.0,90.0,10.0,0.0,80.9,48.3,32.6,19.1,0.0,0.0,0.0,100.0,946,3.3,4.1,0.0,11.7,16.0,17.2,22.1,8.6,2.2,14.8,43.6,28.9,3.6,1.2,0.0,0.0,4.1,9.6,9.1,20.9,938,0.0,18.6,40.9,40.5,7.6,7.9,8.5,13.2,16.0,0.0,Trinity,Hayfork
349,0600000US0610591860,610591860,255,65.9,65.9,0.0,0.0,0.0,0.0,0.99,3.1,16.5,0.0,13.7,0.8,100.0,77.6,22.4,0.0,75.3,36.1,39.2,24.7,0.0,0.0,0.0,100.0,253,3.2,0.0,6.7,16.6,2.4,7.9,41.1,5.9,5.5,10.7,65.6,6.7,1.6,10.3,2.0,0.0,5.5,0.0,8.3,17.3,253,0.0,8.7,39.1,52.2,2.0,0.0,2.7,11.9,5.1,0.0,Trinity,Mad River
350,0600000US0610592202,610592202,718,80.8,68.8,12.0,10.7,1.3,0.0,1.08,0.8,4.6,0.0,1.3,12.5,100.0,69.5,30.5,0.0,49.4,12.0,37.5,50.6,0.0,0.0,0.0,100.0,628,4.8,2.5,3.7,2.4,11.6,4.8,8.6,23.2,1.4,36.9,27.9,12.3,10.5,17.2,5.1,7.0,3.2,8.6,8.3,22.2,706,0.8,8.4,40.5,50.3,9.7,9.5,11.0,15.1,13.2,3.0,Trinity,Northwest Trinity
351,0600000US0610593595,610593595,2490,82.5,65.3,17.2,11.0,5.6,0.6,1.13,2.4,5.9,2.7,0.7,5.8,100.0,93.9,6.1,0.0,87.3,52.7,34.7,12.7,0.0,0.0,0.0,100.0,2345,5.9,3.0,10.1,9.6,6.4,15.6,11.6,10.8,1.6,25.3,48.6,14.6,7.8,6.8,3.3,4.2,3.1,7.3,4.3,16.4,2489,0.2,20.1,33.7,46.0,4.2,5.0,7.9,8.7,8.5,0.1,Trinity,Weaverville
352,0600000US0610790690,610790690,12522,91.2,70.7,20.5,12.3,3.6,4.6,1.16,0.3,2.1,0.1,3.4,2.9,99.6,67.7,31.9,0.4,78.5,21.8,56.6,21.5,0.0,0.0,0.0,100.0,12161,7.3,14.1,9.8,9.8,7.9,8.9,10.7,5.7,2.2,23.7,21.6,14.8,14.0,11.6,3.5,15.7,6.1,6.4,6.3,22.7,12501,3.7,22.1,37.9,36.3,8.0,13.4,10.7,19.3,15.1,2.2,Tulare,Dinuba
353,0600000US0610790760,610790760,4296,88.9,54.6,34.3,19.8,6.9,7.6,1.3,1.1,5.0,0.0,2.7,2.4,100.0,58.3,41.7,0.0,88.1,17.4,70.7,11.9,0.0,0.0,0.0,100.0,4194,6.0,8.6,17.9,23.2,8.4,12.4,4.6,4.3,1.2,13.6,14.0,13.1,14.4,16.7,5.4,20.1,4.8,4.9,6.6,23.3,4295,3.5,26.8,35.6,34.0,9.3,11.4,12.2,20.6,23.3,0.5,Tulare,Earlimart
354,0600000US0610790940,610790940,10146,91.1,79.6,11.6,7.4,2.4,1.8,1.08,1.2,2.2,0.1,1.3,4.1,99.5,91.6,7.9,0.5,79.1,18.7,60.4,20.9,0.0,0.0,0.0,100.0,9728,7.5,3.9,9.5,10.7,10.0,12.6,12.7,7.0,2.5,23.7,18.3,15.3,16.6,18.0,7.3,11.8,4.0,3.3,5.2,22.0,10125,1.9,16.8,42.3,39.1,9.6,12.9,11.9,30.3,27.2,2.2,Tulare,Exeter
355,0600000US0610791420,610791420,2437,95.8,83.5,12.4,8.9,0.5,3.0,1.08,0.0,2.2,0.0,0.1,1.8,100.0,89.7,10.3,0.0,61.4,8.4,53.1,38.6,0.0,0.0,0.0,100.0,2392,14.0,11.4,7.2,7.1,7.7,19.4,13.9,3.6,3.3,12.4,9.8,6.1,11.8,26.8,9.4,24.0,4.3,3.1,4.6,23.8,2436,1.6,16.1,40.7,41.6,4.2,9.5,11.6,28.4,25.2,0.5,Tulare,Ivanhoe
356,0600000US0610791640,610791640,6185,91.6,73.9,17.7,11.5,5.2,1.1,1.12,0.4,2.3,0.0,1.4,4.2,99.6,93.5,6.0,0.4,67.7,25.9,41.7,32.3,0.0,0.0,0.0,100.0,5926,8.0,7.3,7.3,10.8,12.1,11.9,4.4,5.0,2.2,31.0,25.3,13.2,14.4,13.0,4.2,12.1,3.9,6.2,7.6,22.1,6184,2.7,23.2,36.4,37.6,7.2,14.1,9.5,29.3,26.4,1.4,Tulare,Lindsay
357,0600000US0610792290,610792290,6108,86.2,58.4,27.8,14.1,1.9,11.8,1.26,0.2,3.4,0.0,6.7,3.5,100.0,80.3,19.7,0.0,68.2,10.1,58.1,31.8,0.0,0.0,0.0,100.0,5893,13.1,13.9,6.8,11.5,10.5,7.5,5.5,6.0,4.8,20.4,20.3,7.3,11.9,14.9,5.6,14.5,3.7,8.6,13.3,26.4,6103,7.9,18.9,35.9,37.3,10.2,18.2,17.5,17.7,18.3,1.8,Tulare,Orosi-Cutler
358,0600000US0610792480,610792480,1923,91.4,55.0,36.3,22.7,7.7,5.9,1.3,1.0,5.2,0.0,1.7,0.7,100.0,77.0,23.0,0.0,71.9,5.9,66.0,28.1,0.0,0.0,0.0,100.0,1910,16.4,11.7,5.5,17.2,6.4,12.6,5.4,3.0,0.0,21.7,19.2,12.6,16.3,11.1,5.3,18.4,6.3,5.4,5.3,22.0,1923,1.6,32.6,39.6,26.3,3.5,4.6,8.3,10.1,8.2,0.3,Tulare,Pixley
359,0600000US0610792520,610792520,25698,92.3,76.1,16.3,9.9,3.0,3.3,1.12,0.9,1.3,0.8,2.0,2.6,99.5,89.6,9.9,0.5,85.2,43.1,42.2,14.8,0.0,0.0,0.0,100.0,25025,9.3,6.7,5.4,11.6,7.5,11.7,14.4,8.1,4.3,21.0,22.7,23.0,14.6,8.5,2.4,9.4,5.3,6.4,7.8,22.2,25647,2.5,21.3,43.5,32.7,7.5,14.1,9.0,30.7,27.1,1.2,Tulare,Porterville
360,0600000US0610793220,610793220,1953,90.0,83.8,6.1,5.8,0.0,0.4,1.04,0.0,1.1,1.5,1.1,6.3,99.0,91.4,7.6,1.0,22.1,6.8,15.4,77.9,0.0,0.0,0.0,100.0,1829,3.2,4.4,5.5,7.3,14.9,16.6,14.7,10.6,4.3,18.5,19.3,9.8,10.9,17.8,5.1,10.0,0.5,13.4,13.2,28.1,1953,0.0,10.1,38.0,51.8,9.4,9.2,5.3,20.5,16.7,3.0,Tulare,Springville-Johnsondale
361,0600000US0610793260,610793260,2774,93.9,70.6,23.3,12.1,3.1,8.1,1.18,0.7,0.4,0.0,0.4,4.5,100.0,92.4,7.6,0.0,56.1,14.1,42.0,43.9,0.0,0.0,0.0,100.0,2650,12.0,8.7,7.6,13.9,10.9,13.6,10.8,2.2,10.9,9.4,23.1,14.0,16.5,15.9,2.9,12.6,8.3,2.0,4.6,19.6,2764,2.7,18.4,29.8,49.1,5.0,9.8,6.8,33.0,33.4,0.3,Tulare,Strathmore
362,0600000US0610793330,610793330,2187,90.9,51.3,39.5,16.4,5.8,17.3,1.4,1.2,6.3,0.0,1.5,0.2,99.5,78.1,21.4,0.5,53.3,8.5,44.8,46.7,0.0,0.0,0.0,100.0,2182,13.2,12.7,18.7,16.3,4.9,13.2,4.6,3.0,1.6,11.6,24.2,9.2,8.8,13.2,6.7,6.4,12.4,7.2,11.9,26.1,2181,2.6,27.1,43.3,27.0,8.1,11.6,9.1,27.6,21.6,5.3,Tulare,Terra Bella
363,0600000US0610793360,610793360,2340,87.6,69.1,18.5,11.0,2.9,4.6,1.14,0.5,6.8,0.5,2.9,1.7,99.9,87.1,12.8,0.1,62.3,8.2,54.1,37.7,0.0,0.0,0.0,100.0,2301,11.6,15.6,6.8,18.7,7.3,11.4,5.6,7.3,2.3,13.3,26.7,9.9,15.6,16.9,5.6,9.0,3.7,2.3,10.3,20.9,2340,0.8,23.3,45.0,30.8,5.7,10.7,10.5,20.2,20.6,1.8,Tulare,Tipton
364,0600000US0610793430,610793430,25925,93.1,82.9,10.3,7.5,1.1,1.7,1.07,0.7,2.4,0.3,1.1,2.4,99.9,87.2,12.6,0.1,90.7,39.9,50.8,9.3,0.0,0.0,0.0,100.0,25292,10.0,6.5,7.1,8.1,7.5,9.9,13.0,8.9,4.4,24.5,23.5,19.1,14.9,14.2,4.7,10.9,4.8,3.5,4.5,19.3,25885,2.9,19.7,41.1,36.4,5.9,7.9,7.7,15.9,9.9,0.7,Tulare,Tulare
365,0600000US0610793560,610793560,54361,90.7,77.7,13.0,9.2,1.9,2.0,1.09,1.0,1.5,1.0,1.6,4.2,99.6,86.7,12.9,0.4,97.0,59.6,37.4,3.0,0.0,0.0,0.0,100.0,52088,6.5,5.1,6.6,7.4,8.7,12.8,14.4,10.3,4.0,24.2,20.0,25.0,20.0,10.8,2.7,6.4,3.9,6.2,5.0,20.0,54266,2.8,19.7,45.0,32.5,7.2,10.1,8.9,20.7,13.6,1.6,Tulare,Visalia
366,0600000US0610793780,610793780,4953,91.4,75.8,15.6,11.5,2.1,2.0,1.11,0.3,2.0,0.2,1.5,4.5,99.9,95.0,5.0,0.1,70.4,21.9,48.5,29.6,0.0,0.0,0.0,100.0,4729,6.1,5.9,7.5,8.2,12.1,18.0,13.0,6.4,2.1,20.7,20.2,10.9,12.3,17.0,7.6,14.4,8.1,5.8,3.7,22.6,4948,1.5,14.5,40.0,44.0,3.3,6.4,6.3,15.2,12.1,1.6,Tulare,Woodlake-Three Rivers
367,0600000US0610990835,610990835,4738,89.9,78.9,11.0,7.5,3.1,0.5,1.07,0.1,2.2,0.0,0.7,7.2,100.0,90.9,9.1,0.0,67.9,9.2,58.6,32.1,0.0,0.0,0.0,100.0,4398,3.4,2.7,7.2,9.5,8.2,18.0,15.3,10.1,2.8,22.8,12.6,26.0,26.4,12.9,3.6,7.8,3.0,3.3,4.4,20.5,4734,4.1,14.6,35.8,45.5,6.6,7.0,7.1,11.8,8.0,0.4,Tuolumne,East Sonora-Phoenix Lake
368,0600000US0610991190,610991190,1653,91.2,82.5,8.7,5.6,3.1,0.0,1.06,0.7,2.4,0.0,1.0,4.6,98.9,69.6,29.3,1.1,68.2,25.8,42.4,31.8,0.0,0.0,0.0,100.0,1577,7.0,6.4,7.4,9.1,17.2,12.6,8.1,12.9,6.0,13.3,27.1,18.1,3.0,4.1,0.0,7.0,4.9,10.5,25.2,34.3,1653,4.4,17.3,36.3,42.0,15.6,14.7,14.8,18.0,18.5,2.2,Tuolumne,Groveland
369,0600000US0610993080,610993080,6233,86.1,77.6,8.5,6.7,1.1,0.6,1.06,0.9,4.1,0.7,0.9,7.3,99.7,83.7,15.9,0.3,53.5,18.8,34.6,46.5,0.0,0.0,0.0,100.0,5778,6.3,4.4,6.9,5.5,10.8,13.4,12.3,11.3,4.4,24.6,21.1,22.4,19.2,9.7,5.3,4.7,2.3,4.3,11.0,26.1,6214,2.3,24.2,38.9,34.6,6.8,6.9,6.9,13.4,10.6,1.9,Tuolumne,Sonora
370,0600000US0610993470,610993470,5701,86.0,78.5,7.5,7.1,0.4,0.0,1.05,0.1,6.5,1.0,1.3,5.1,99.4,88.2,11.2,0.6,59.5,12.9,46.6,40.5,0.0,0.0,0.0,100.0,5412,4.0,2.2,3.4,5.5,14.3,13.5,16.1,8.8,4.7,27.4,24.3,11.2,24.8,14.3,2.5,9.6,2.0,1.9,9.5,25.1,5650,1.4,16.8,40.4,41.4,5.6,6.6,6.2,9.9,9.2,1.4,Tuolumne,Twain Harte-Tuolumne City
371,0600000US0611190350,611190350,32223,90.3,81.0,9.3,7.4,1.0,0.9,1.06,1.2,2.4,0.5,1.2,4.4,99.3,85.4,13.9,0.7,85.8,29.1,56.6,14.2,0.0,0.0,0.0,100.0,30799,2.9,1.9,3.8,7.9,11.0,14.9,15.5,12.4,6.5,23.2,15.0,17.8,16.8,19.5,6.2,10.9,3.5,4.0,6.4,22.3,31641,0.8,11.9,42.9,44.4,5.5,6.8,8.0,12.1,8.2,0.6,Ventura,Camarillo
372,0600000US0611190988,611190988,7704,88.1,74.6,13.5,10.9,1.6,1.0,1.09,1.5,3.3,0.4,1.1,5.5,99.9,82.9,17.0,0.1,87.8,17.8,70.0,12.2,0.0,0.0,0.0,100.0,7277,7.0,8.6,7.3,14.8,10.2,12.8,7.8,11.4,2.2,17.8,13.6,7.3,10.2,8.5,5.5,22.7,9.4,11.5,11.2,30.4,7688,2.5,12.3,39.5,45.7,5.7,6.2,7.7,13.4,8.8,1.2,Ventura,Fillmore
373,0600000US0611191560,611191560,1523,80.4,67.9,12.5,9.3,2.8,0.5,1.09,0.0,5.7,0.8,2.2,10.9,100.0,89.4,10.6,0.0,16.0,0.8,15.2,84.0,0.0,0.0,0.0,100.0,1357,5.1,1.0,8.0,8.9,16.0,13.4,10.7,10.8,2.1,24.1,15.4,13.9,13.4,12.8,4.2,14.4,12.6,6.4,6.9,24.9,1523,0.1,7.6,38.8,53.4,2.7,2.9,5.8,12.5,9.9,0.5,Ventura,Las Posas
374,0600000US0611191770,611191770,238,57.1,52.5,4.6,4.6,0.0,0.0,1.05,1.3,0.4,0.0,6.7,34.5,100.0,55.0,45.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,156,9.6,7.1,1.9,9.6,12.8,12.2,28.2,2.6,10.3,5.8,5.8,0.0,22.4,14.7,3.2,12.8,1.9,4.5,34.6,38.7,231,0.0,24.2,35.5,40.3,13.9,7.4,5.5,17.3,4.5,0.0,Ventura,Los Padres
375,0600000US0611192020,611192020,17698,89.8,79.5,10.4,8.1,1.8,0.4,1.07,1.7,1.4,0.3,0.6,6.1,99.7,72.4,27.3,0.3,97.2,22.6,74.6,2.8,0.0,0.0,0.0,100.0,16617,3.9,3.8,4.9,9.3,9.2,13.9,13.7,13.4,6.9,21.2,13.2,11.8,17.1,16.0,6.0,14.6,7.2,6.0,8.0,25.0,17698,0.7,9.2,39.6,50.6,4.0,5.3,6.4,9.3,5.9,1.0,Ventura,Moorpark
376,0600000US0611192245,611192245,12765,83.1,74.9,8.2,6.3,1.6,0.3,1.06,0.5,3.4,1.9,0.8,10.3,99.5,87.6,11.8,0.5,79.5,20.6,58.9,20.5,0.0,0.0,0.0,100.0,11448,4.2,3.1,6.7,9.0,10.9,11.7,13.4,12.8,5.7,22.5,19.5,15.8,8.9,10.4,4.7,13.9,8.8,9.7,8.3,25.9,12657,0.9,16.0,34.4,48.7,4.6,5.5,5.7,12.5,7.8,0.3,Ventura,Ojai-Mira Monte
377,0600000US0611192310,611192310,103816,91.5,72.0,19.5,13.4,3.1,3.0,1.14,1.6,2.4,0.7,0.9,2.9,99.5,90.4,9.1,0.5,97.8,38.8,59.0,2.2,0.0,0.0,0.0,100.0,100818,6.0,5.6,8.7,13.0,11.0,11.9,11.2,7.7,4.0,20.8,11.0,15.6,19.7,19.4,4.9,14.8,3.8,5.1,5.6,23.1,101885,1.8,16.3,34.5,47.4,6.0,6.9,8.2,10.5,8.7,0.6,Ventura,Oxnard
378,0600000US0611192930,611192930,13235,92.0,70.4,21.6,10.1,3.6,7.9,1.17,1.4,2.8,0.9,0.7,2.2,99.8,90.3,9.5,0.2,90.4,24.5,66.0,9.6,0.0,0.0,0.0,100.0,12940,5.4,8.3,7.8,16.8,10.7,11.3,7.2,7.9,3.1,21.6,15.3,11.3,11.4,14.1,6.1,19.3,7.5,7.4,7.5,25.8,13055,3.8,13.5,35.8,46.9,6.1,10.0,10.4,10.5,11.1,0.2,Ventura,Santa Paula
379,0600000US0611193020,611193020,64662,90.1,79.9,10.2,8.4,1.0,0.8,1.07,1.3,1.1,0.5,0.9,6.1,99.7,57.9,41.8,0.3,98.1,37.0,61.2,1.9,0.0,0.0,0.0,100.0,60722,4.6,4.7,5.3,8.6,9.3,14.3,13.3,11.6,6.3,21.9,14.6,12.5,10.2,11.6,6.1,15.8,8.9,9.2,11.0,28.5,64495,1.4,10.4,39.7,48.6,4.9,5.6,6.5,11.2,7.6,0.7,Ventura,Simi Valley
380,0600000US0611193350,611193350,75158,87.2,78.6,8.6,6.7,1.1,0.8,1.06,0.7,2.0,0.7,1.2,8.1,99.2,65.5,33.7,0.8,97.7,39.7,58.0,2.3,0.0,0.0,0.0,100.0,69072,2.6,2.6,3.9,6.5,8.3,13.8,14.3,14.8,7.9,25.4,16.0,19.2,17.0,12.0,4.9,9.8,4.5,6.3,10.4,24.5,74430,1.3,12.5,43.5,42.7,5.4,6.2,8.0,13.1,9.3,0.5,Ventura,Thousand Oaks
381,0600000US0611193422,611193422,762,73.9,70.1,3.8,3.8,0.0,0.0,1.02,0.0,0.7,0.0,2.8,22.7,99.5,60.4,39.1,0.5,56.8,13.4,43.4,43.2,0.0,0.0,0.0,100.0,589,8.5,0.0,3.6,0.0,6.3,14.1,9.8,23.4,8.5,25.8,3.9,2.7,20.7,8.5,6.5,16.1,11.2,11.0,19.4,36.1,762,0.9,7.6,45.5,45.9,13.1,12.1,14.6,26.0,20.7,0.0,Ventura,Triunfo Pass-Point Mugu
382,0600000US0611193550,611193550,52453,88.3,77.3,11.0,8.4,1.4,1.2,1.07,2.0,2.3,1.1,0.8,5.6,99.7,83.7,16.0,0.3,96.8,46.4,50.4,3.2,0.0,0.0,0.0,100.0,49519,4.0,3.1,4.4,8.0,9.8,14.1,15.7,10.6,5.8,24.3,14.8,20.3,17.8,14.0,5.0,9.8,5.4,6.5,6.4,22.7,52253,1.8,18.8,46.3,33.1,5.3,6.3,6.9,11.0,8.4,0.9,Ventura,Ventura
383,0600000US0611390500,611390500,417,78.2,54.2,24.0,21.1,2.9,0.0,1.19,0.0,2.9,0.0,0.0,18.9,100.0,70.0,30.0,0.0,46.0,14.9,31.2,54.0,0.0,0.0,0.0,100.0,338,0.0,0.0,0.0,14.8,22.2,24.0,21.9,6.2,3.6,7.4,24.9,3.6,26.3,8.6,18.6,5.3,3.8,7.4,1.5,18.9,417,1.2,7.0,55.2,36.7,7.0,8.9,7.0,8.6,8.6,1.2,Yolo,Clarksburg
384,0600000US0611390640,611390640,32910,62.3,54.5,7.9,6.4,0.9,0.5,1.07,6.2,3.8,21.6,0.6,5.4,99.4,70.6,28.8,0.6,96.2,41.4,54.8,3.8,0.0,0.0,0.0,100.0,31122,1.5,1.2,2.4,3.0,5.7,11.4,13.1,15.8,10.8,35.2,17.2,23.8,17.1,12.9,6.1,10.8,4.6,3.2,4.4,20.2,32005,3.8,22.6,43.6,30.0,5.1,5.3,5.2,9.7,5.9,0.5,Yolo,Davis
385,0600000US0611390850,611390850,20767,89.8,75.0,14.8,11.4,1.9,1.5,1.1,2.0,1.2,1.1,1.2,4.7,99.6,37.5,62.2,0.4,99.6,28.3,71.3,0.4,0.0,0.0,0.0,100.0,19791,5.2,4.5,3.4,8.3,10.7,13.7,15.9,10.8,4.3,23.2,11.5,18.6,19.3,17.9,7.3,12.9,3.3,3.9,5.2,22.8,20736,3.8,19.4,42.8,34.0,7.4,8.2,8.3,11.9,9.1,0.7,Yolo,East Yolo
386,0600000US0611390910,611390910,2024,92.6,82.1,10.5,9.9,0.6,0.0,1.06,1.1,2.6,0.4,1.0,2.2,100.0,74.8,25.2,0.0,68.4,11.9,56.5,31.6,0.0,0.0,0.0,100.0,1980,7.0,6.5,8.8,15.4,11.0,16.9,10.4,7.0,1.1,16.0,16.5,16.8,11.0,11.4,9.6,12.7,3.3,5.7,13.1,26.7,2017,1.4,13.9,37.8,46.9,11.8,14.5,13.1,14.7,13.3,0.0,Yolo,Esparto
387,0600000US0611391500,611391500,1635,91.7,77.5,14.2,9.9,0.0,4.3,1.1,1.5,2.3,2.1,0.6,1.8,100.0,73.8,26.2,0.0,67.8,7.4,60.4,32.2,0.0,0.0,0.0,100.0,1605,10.2,6.0,14.0,8.0,13.1,13.8,11.0,12.1,2.1,9.7,15.0,12.6,13.0,19.2,5.4,12.7,7.2,6.0,9.0,26.1,1611,1.7,18.2,44.5,35.6,6.4,7.1,7.6,8.5,7.5,0.4,Yolo,Knights Landing
388,0600000US0611393770,611393770,3798,86.0,78.1,7.9,4.6,1.9,1.4,1.06,0.8,3.4,3.1,1.2,5.6,99.7,56.6,43.0,0.3,83.6,23.5,60.1,16.4,0.0,0.0,0.0,100.0,3587,6.4,5.5,10.7,6.2,13.1,15.6,10.4,11.5,4.7,15.9,21.0,8.7,10.9,12.4,5.3,19.9,3.2,11.3,7.4,25.5,3797,0.4,13.5,43.7,42.4,7.5,8.7,9.2,15.4,8.8,0.0,Yolo,Winters
389,0600000US0611393790,611393790,25835,89.6,74.7,14.9,10.8,3.1,1.1,1.1,2.5,2.4,2.1,0.8,2.7,99.5,74.2,25.3,0.5,97.6,44.9,52.7,2.4,0.0,0.0,0.0,100.0,25150,6.4,4.7,6.7,8.9,10.1,12.1,15.8,8.7,4.2,22.3,22.6,20.7,12.7,11.8,4.2,11.4,5.9,5.9,4.7,21.1,25745,3.2,19.6,40.4,36.8,5.1,5.6,5.5,10.1,7.6,0.9,Yolo,Woodland
390,0600000US0611590855,611590855,2113,86.9,63.3,23.6,11.5,5.6,6.5,1.2,0.0,8.6,0.6,0.1,3.8,97.7,71.6,26.1,2.3,44.8,15.2,29.6,55.2,0.0,0.0,0.0,100.0,2032,4.1,3.2,12.7,8.1,13.1,16.7,14.4,2.2,1.6,23.8,22.8,22.4,17.6,6.7,2.5,5.8,2.9,7.0,12.3,23.6,1590,1.1,20.5,40.8,37.7,1.8,3.3,5.1,2.5,4.8,0.3,Yuba,East Yuba-Beale AFB
391,0600000US0611591610,611591610,5172,90.9,74.7,16.2,10.6,4.3,1.3,1.11,0.9,1.0,0.7,1.4,5.2,99.9,52.2,47.7,0.1,100.0,14.6,85.4,0.0,0.0,0.0,0.0,100.0,4903,10.6,5.7,7.8,10.6,8.3,11.4,6.6,4.8,1.4,32.7,14.6,14.2,20.8,16.6,2.0,7.6,4.9,9.9,9.4,25.7,5159,1.6,20.3,47.8,30.4,5.4,5.9,6.7,11.3,7.8,1.7,Yuba,Linda
392,0600000US0611591900,611591900,4072,86.6,74.6,11.9,9.7,1.5,0.8,1.08,0.9,4.9,0.5,1.4,5.8,100.0,54.0,46.0,0.0,97.6,34.3,63.3,2.4,0.0,0.0,0.0,100.0,3836,6.4,4.4,10.0,9.0,9.2,7.5,11.6,10.2,2.5,29.3,18.2,19.3,16.0,13.3,3.8,8.2,3.5,10.8,6.8,25.1,4063,4.3,33.3,36.0,26.4,4.3,4.5,4.1,6.6,5.3,0.8,Yuba,Marysville
