,Unnamed: 0,County,Jurisdiction,Num_RecyclingProg_2007,Target_ResPPD_2007,Annual_ResPPD_2007,Target_EmpPPD_2007,Annual_EmpPPD_2007,Num_RecyclingProg_2008,Target_ResPPD_2008,Annual_ResPPD_2008,Target_EmpPPD_2008,Annual_EmpPPD_2008,Num_RecyclingProg_2009,Target_ResPPD_2009,Annual_ResPPD_2009,Target_EmpPPD_2009,Annual_EmpPPD_2009,Num_RecyclingProg_2010,Target_ResPPD_2010,Annual_ResPPD_2010,Target_EmpPPD_2010,Annual_EmpPPD_2010,Num_RecyclingProg_2011,Target_ResPPD_2011,Annual_ResPPD_2011,Target_EmpPPD_2011,Annual_EmpPPD_2011,Num_RecyclingProg_2012,Target_ResPPD_2012,Annual_ResPPD_2012,Target_EmpPPD_2012,Annual_EmpPPD_2012,Num_RecyclingProg_2013,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Population,Male,Female,MedianAgeYears,MaleMedianAgeYears,FemaleMedianAgeYears,AverageHouseholdSize,AverageFamilySize,PersonsUnder5Years,PersonsUnder18Years,PersonsAge21Plus,PersonsAge55Plus,PersonsAge60Plus,PersonsAge65Plus,PercentPopulationFemale,PercentPopulationLessThan18,PopulationR,TotalPopulationOfOneRace,White,BlackOrAfricanAmerican,AmericanIndianAndAlaskaNative,TotalAsian,AsianIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,OtherAsian,TotalNHOPI,NativeHawaiian,GuamanianOrChamorro,Samoan,OtherPacificIslander,SomeOtherRace,TotalPopulationInHouseholds,Householder,Spouse,Children,ChildrenOwnChildUnder18y,OtherRelatives,OtherRelativesUnder18y,NonRelatives,NonRelativesUnmarriedPartner,TotalHH,HH_wchildren,HH_couple,Couple_wchildren,HH_malehead,HH_malehead_wchildren,HH_femalehead,HH_femalehead_wchildren,Nonfamily_HH,HH_livingalone,HH_seniorover65,Percent_single_parent,Total_housing_units,Occupied_units,Vacant_units,For_rent_units,Rented_not_occupied_units,For_sale_units,Sold_not_occupied_units,Seasonal_units,All_other_vacans,VancancyRate,HomeownerVacancyRate,RentalVacancyRate
145,149,San Diego,Imperial Beach,36,4.0,3.0,38.6,27.5,35,4.0,2.5,38.6,23.2,36,4.0,2.5,38.6,23.8,36,4.0,3.1,38.6,31.4,37,4.0,3.2,38.6,29.4,37,4.0,2.8,38.6,26.4,37,4.0,2.9,38.6,23.6,26324.0,13234.0,13090.0,31,29.8,32.4,2.82100526778,3.32,1982.0,6696.0,18120.0,4860.0,3420.0,2373.0,0.49726485336599996,0.254368636985,26324.0,24586.0,16467.0,1170.0,266.0,1731.0,40.0,46.0,1387.0,122.0,14.0,24.0,98.0,188.0,54.0,70.0,27.0,37.0,4764.0,25705.0,9112.0,3735.0,8062.0,5490.0,2648.0,993.0,2148.0,849.0,6213.0,3109.0,3735.0,1780.0,778.0,383.0,1700.0,946.0,2899.0,2046.0,550.0,0.42746863943400004,9882.0,9112.0,770.0,365.0,25.0,65.0,13.0,216.0,86.0,0.07791944950410001,0.023,0.054000000000000006
146,150,Imperial,Imperial,41,7.9,5.8,24.3,18.3,41,7.9,5.1,24.3,16.2,41,7.9,3.9,24.3,12.8,41,7.9,5.0,24.3,18.3,41,7.9,4.8,24.3,15.4,40,7.9,3.6,24.3,11.2,40,7.9,4.5,24.3,13.7,14758.0,7213.0,7545.0,29.9,29.0,30.7,3.34324631101,3.69,1276.0,4927.0,9157.0,2070.0,1407.0,956.0,0.511248136604,0.333852825586,14758.0,13949.0,9298.0,331.0,154.0,370.0,32.0,30.0,166.0,33.0,42.0,31.0,36.0,13.0,0.0,5.0,5.0,3.0,3783.0,14727.0,4405.0,2669.0,5805.0,4414.0,1283.0,453.0,565.0,295.0,3621.0,2238.0,2669.0,1660.0,255.0,163.0,697.0,415.0,784.0,621.0,181.0,0.258266309205,4751.0,4405.0,346.0,60.0,3.0,147.0,21.0,22.0,93.0,0.0728267733109,0.045,0.045
147,151,Riverside,Indian Wells,42,21.5,14.2,25.5,14.9,42,21.5,15.0,25.5,15.6,42,21.5,12.5,25.5,14.2,42,21.5,11.3,25.5,14.2,41,21.5,10.2,25.5,12.4,42,21.5,9.5,25.5,12.6,42,21.5,10.5,25.5,15.5,4958.0,2272.0,2686.0,66.7,67.9,66.0,1.80400728597,2.22,60.0,310.0,4613.0,3793.0,3345.0,2731.0,0.5417507059300001,0.0625252117789,4958.0,4907.0,4721.0,29.0,20.0,83.0,11.0,21.0,26.0,12.0,7.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,52.0,4952.0,2745.0,1519.0,406.0,276.0,92.0,26.0,190.0,121.0,1650.0,173.0,1519.0,126.0,46.0,24.0,85.0,23.0,1095.0,944.0,690.0,0.27167630057799996,5137.0,2745.0,2392.0,85.0,7.0,124.0,28.0,2028.0,120.0,0.465641424956,0.051,0.154
148,152,Riverside,Indio,42,7.5,6.9,31.9,31.2,44,8.7,5.6,35.6,26.9,44,8.7,4.6,35.6,23.9,44,8.7,4.7,35.6,25.8,44,8.7,4.6,35.6,24.7,45,8.7,4.6,35.6,25.0,46,8.7,3.6,35.6,21.5,76036.0,37495.0,38541.0,32.2,31.2,33.3,3.2118658567900003,3.6,6471.0,22879.0,49870.0,16678.0,13075.0,9412.0,0.506878320795,0.300896943553,76036.0,73423.0,46735.0,1805.0,741.0,1693.0,166.0,223.0,765.0,112.0,101.0,151.0,175.0,55.0,21.0,12.0,3.0,19.0,22394.0,75087.0,23378.0,13149.0,25857.0,18841.0,8430.0,3488.0,4273.0,1886.0,18239.0,9091.0,13149.0,6233.0,1512.0,791.0,3578.0,2067.0,5139.0,3859.0,1777.0,0.31437685623100003,28971.0,23378.0,5593.0,1166.0,51.0,810.0,102.0,2986.0,478.0,0.19305512409000003,0.05,0.125
149,153,Los Angeles,Industry,15,1296.6,909.6,16.0,11.0,15,1296.6,837.6,16.0,10.6,15,1296.6,683.8,16.0,9.7,15,1296.6,1064.2,16.0,9.3,15,1296.6,1274.9,16.0,10.4,15,1296.6,1251.9,16.0,9.5,15,1296.6,1141.2,16.0,9.1,219.0,114.0,105.0,37.5,35.0,39.5,3.1014492753600003,3.58,9.0,59.0,147.0,40.0,30.0,22.0,0.479452054795,0.269406392694,219.0,211.0,129.0,1.0,0.0,18.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,214.0,69.0,37.0,81.0,52.0,19.0,6.0,8.0,5.0,53.0,27.0,37.0,23.0,9.0,3.0,7.0,1.0,16.0,12.0,6.0,0.148148148148,73.0,69.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0547945205479,0.0,0.06
150,154,Los Angeles,Inglewood,39,5.2,4.4,25.2,19.8,39,5.2,4.0,25.2,18.2,38,5.2,3.9,25.2,18.6,39,5.2,4.0,25.2,19.2,39,5.2,4.0,25.2,17.4,39,5.2,3.6,25.2,15.9,40,5.2,3.4,25.2,15.4,109673.0,52138.0,57535.0,33.4,31.6,35.0,2.97262909121,3.59,8044.0,29293.0,75305.0,21402.0,15317.0,10256.0,0.524604962023,0.267093997611,109673.0,105171.0,25562.0,48164.0,751.0,1484.0,257.0,102.0,593.0,150.0,51.0,28.0,303.0,350.0,11.0,14.0,33.0,292.0,28860.0,108171.0,36389.0,13095.0,37240.0,23411.0,14423.0,5243.0,7024.0,2552.0,25019.0,12769.0,13095.0,6944.0,2937.0,1345.0,8987.0,4480.0,11370.0,9346.0,2776.0,0.456182943065,38429.0,36389.0,2040.0,1351.0,72.0,211.0,48.0,37.0,321.0,0.0530849098337,0.015,0.055
151,155,Inyo,Inyokern,39,5.7,5.9,14.4,14.2,38,5.7,5.1,14.4,12.2,38,5.7,4.2,14.4,10.0,38,5.7,7.5,14.4,21.0,37,5.7,7.8,14.4,19.5,37,5.7,6.3,14.4,15.7,37,5.7,6.0,14.4,15.0,1099.0,572.0,527.0,48.2,48.4,47.7,2.27066115702,3.01,49.0,222.0,841.0,395.0,295.0,196.0,0.479526842584,0.20200181983600002,1099.0,1044.0,930.0,14.0,24.0,25.0,0.0,3.0,6.0,6.0,3.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0,49.0,1099.0,484.0,219.0,269.0,185.0,70.0,29.0,57.0,33.0,278.0,88.0,219.0,63.0,21.0,6.0,38.0,19.0,206.0,179.0,73.0,0.284090909091,537.0,484.0,53.0,8.0,3.0,7.0,5.0,7.0,23.0,0.098696461825,0.019,0.057
152,156,Orange,Irvine,39,10.1,8.8,9.3,8.2,39,10.1,6.8,9.3,6.6,39,10.1,5.5,9.3,5.9,39,10.1,5.7,9.3,6.6,39,10.1,5.6,9.3,6.0,39,10.1,5.5,9.3,5.8,40,10.1,5.7,9.3,6.2,212375.0,103434.0,108941.0,33.9,32.9,34.9,2.60602952721,3.13,12005.0,45675.0,151405.0,39809.0,28047.0,18461.0,0.51296527369,0.215067686875,212375.0,200665.0,107215.0,3718.0,355.0,83176.0,10687.0,27362.0,6192.0,6474.0,18445.0,7882.0,6134.0,334.0,75.0,94.0,85.0,80.0,5867.0,205819.0,78978.0,40930.0,58259.0,43713.0,10383.0,1597.0,17269.0,3681.0,51453.0,25625.0,40930.0,20819.0,2978.0,1099.0,7545.0,3707.0,27525.0,18475.0,4146.0,0.18755121951200002,83899.0,78978.0,4921.0,2608.0,148.0,910.0,139.0,592.0,524.0,0.0586538576145,0.022000000000000002,0.062
153,157,Los Angeles,Irwindale,22,249.5,143.5,19.4,12.4,22,249.5,143.5,19.4,13.0,23,249.5,135.3,19.4,13.0,23,249.5,130.9,19.4,10.7,23,249.5,137.5,19.4,10.8,23,249.5,130.4,19.4,9.7,23,249.5,113.5,19.4,9.8,1422.0,687.0,735.0,34,33.0,35.1,3.6684491978600002,3.93,95.0,373.0,965.0,296.0,206.0,151.0,0.516877637131,0.262306610408,1422.0,1364.0,833.0,12.0,29.0,34.0,0.0,2.0,23.0,6.0,0.0,1.0,2.0,8.0,0.0,7.0,0.0,1.0,448.0,1372.0,374.0,189.0,475.0,274.0,241.0,87.0,93.0,33.0,309.0,149.0,189.0,101.0,32.0,14.0,88.0,34.0,65.0,48.0,22.0,0.322147651007,390.0,374.0,16.0,3.0,0.0,2.0,1.0,0.0,10.0,0.0410256410256,0.008,0.026000000000000002
154,158,Sacramento,Isleton,34,5.8,3.8,35.0,18.2,34,5.8,4.1,35.0,22.2,34,5.8,3.9,35.0,24.5,27,5.8,5.5,35.0,41.2,27,5.8,4.8,35.0,43.3,27,5.8,6.6,35.0,74.6,29,5.8,4.6,35.0,31.8,804.0,416.0,388.0,42.1,43.0,41.0,2.42900302115,3.35,41.0,191.0,577.0,236.0,183.0,135.0,0.48258706467699997,0.23756218905499998,804.0,746.0,542.0,10.0,10.0,41.0,0.0,12.0,27.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,139.0,804.0,331.0,109.0,249.0,168.0,61.0,18.0,54.0,29.0,178.0,81.0,109.0,46.0,23.0,10.0,46.0,25.0,153.0,125.0,51.0,0.432098765432,425.0,331.0,94.0,36.0,0.0,25.0,1.0,14.0,18.0,0.221176470588,0.11900000000000001,0.19699999999999998
