,Unnamed: 0,County,Jurisdiction,Num_RecyclingProg_2007,Target_ResPPD_2007,Annual_ResPPD_2007,Target_EmpPPD_2007,Annual_EmpPPD_2007,Num_RecyclingProg_2008,Target_ResPPD_2008,Annual_ResPPD_2008,Target_EmpPPD_2008,Annual_EmpPPD_2008,Num_RecyclingProg_2009,Target_ResPPD_2009,Annual_ResPPD_2009,Target_EmpPPD_2009,Annual_EmpPPD_2009,Num_RecyclingProg_2010,Target_ResPPD_2010,Annual_ResPPD_2010,Target_EmpPPD_2010,Annual_EmpPPD_2010,Num_RecyclingProg_2011,Target_ResPPD_2011,Annual_ResPPD_2011,Target_EmpPPD_2011,Annual_EmpPPD_2011,Num_RecyclingProg_2012,Target_ResPPD_2012,Annual_ResPPD_2012,Target_EmpPPD_2012,Annual_EmpPPD_2012,Num_RecyclingProg_2013,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Population,Male,Female,MedianAgeYears,MaleMedianAgeYears,FemaleMedianAgeYears,AverageHouseholdSize,AverageFamilySize,PersonsUnder5Years,PersonsUnder18Years,PersonsAge21Plus,PersonsAge55Plus,PersonsAge60Plus,PersonsAge65Plus,PercentPopulationFemale,PercentPopulationLessThan18,PopulationR,TotalPopulationOfOneRace,White,BlackOrAfricanAmerican,AmericanIndianAndAlaskaNative,TotalAsian,AsianIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,OtherAsian,TotalNHOPI,NativeHawaiian,GuamanianOrChamorro,Samoan,OtherPacificIslander,SomeOtherRace,TotalPopulationInHouseholds,Householder,Spouse,Children,ChildrenOwnChildUnder18y,OtherRelatives,OtherRelativesUnder18y,NonRelatives,NonRelativesUnmarriedPartner,TotalHH,HH_wchildren,HH_couple,Couple_wchildren,HH_malehead,HH_malehead_wchildren,HH_femalehead,HH_femalehead_wchildren,Nonfamily_HH,HH_livingalone,HH_seniorover65,Percent_single_parent,Total_housing_units,Occupied_units,Vacant_units,For_rent_units,Rented_not_occupied_units,For_sale_units,Sold_not_occupied_units,Seasonal_units,All_other_vacans,VancancyRate,HomeownerVacancyRate,RentalVacancyRate
0,0,San Bernardino,Adelanto,35,6.9,4.8,40.6,31.7,35,6.9,3.8,40.6,25.3,42,6.9,3.2,40.6,24.6,44,6.9,2.8,40.6,28.1,45,6.9,3.0,40.6,28.7,45,6.9,3.0,40.6,27.2,45,6.9,3.2,40.6,22.0,31765.0,16318.0,15447.0,25.3,25.0,25.7,3.84325777949,4.11,3280.0,11807.0,18097.0,3367.0,2243.0,1397.0,0.48628994176000007,0.37169841020000005,31765.0,29979.0,13909.0,6511.0,411.0,617.0,39.0,33.0,288.0,25.0,46.0,56.0,130.0,194.0,35.0,24.0,72.0,63.0,8337.0,30012.0,7809.0,4000.0,12641.0,9693.0,3806.0,1816.0,1756.0,827.0,6579.0,4349.0,4000.0,2638.0,722.0,434.0,1857.0,1277.0,1230.0,910.0,209.0,0.393423775581,9086.0,7809.0,1277.0,462.0,11.0,323.0,56.0,32.0,393.0,0.140545894783,0.066,0.12300000000000001
1,1,Los Angeles,Agoura Hills,30,7.0,6.6,15.2,13.1,32,7.0,5.7,15.2,10.9,32,7.0,5.0,15.2,10.0,32,7.0,5.8,15.2,11.5,32,7.0,5.7,15.2,10.8,33,7.0,5.8,15.2,10.4,33,7.0,5.5,15.2,9.9,20330.0,10021.0,10309.0,42.4,41.2,43.4,2.76265865975,3.15,896.0,4904.0,14670.0,5527.0,3707.0,2290.0,0.507083128382,0.24121987210999998,20330.0,19600.0,17147.0,267.0,51.0,1521.0,264.0,434.0,228.0,169.0,251.0,74.0,101.0,24.0,10.0,1.0,1.0,12.0,590.0,20242.0,7327.0,4565.0,6721.0,4682.0,745.0,155.0,884.0,299.0,5593.0,2671.0,4565.0,2108.0,302.0,162.0,726.0,401.0,1734.0,1346.0,438.0,0.210782478472,7585.0,7327.0,258.0,118.0,7.0,29.0,11.0,36.0,57.0,0.0340145023072,0.005,0.068
2,2,Alameda,Alameda,45,5.5,3.8,21.4,13.8,45,5.5,3.6,21.4,12.4,45,5.5,3.2,21.4,11.6,45,5.5,2.8,21.4,10.2,45,5.5,3.0,21.4,10.1,45,5.5,2.7,21.4,8.9,45,5.5,2.6,21.4,8.2,73812.0,35315.0,38497.0,40.7,39.5,41.9,2.40069050227,3.06,4182.0,15304.0,56295.0,20125.0,14672.0,9975.0,0.521554760744,0.207337560288,73812.0,68547.0,37460.0,4759.0,426.0,23058.0,793.0,10636.0,5419.0,836.0,1496.0,2041.0,1837.0,381.0,77.0,129.0,86.0,89.0,2463.0,72316.0,30123.0,13440.0,19626.0,14034.0,4531.0,1091.0,4596.0,2140.0,18291.0,8484.0,13440.0,6099.0,1228.0,537.0,3623.0,1848.0,11832.0,9347.0,2874.0,0.281117397454,32351.0,30123.0,2228.0,942.0,65.0,164.0,63.0,207.0,787.0,0.0688695867207,0.011000000000000001,0.057
3,3,Alameda,Albany,41,5.0,2.9,19.3,11.0,41,5.0,2.3,19.3,8.2,41,5.0,2.2,19.3,8.7,43,5.0,1.7,19.3,7.8,43,5.0,2.1,19.3,9.7,43,5.0,1.6,19.3,6.9,44,5.0,1.9,19.3,8.4,18539.0,8821.0,9718.0,37,35.8,38.2,2.49344683151,3.0,1409.0,4630.0,13521.0,4112.0,2934.0,1847.0,0.524192243379,0.249743783376,18539.0,17295.0,10128.0,645.0,88.0,5790.0,340.0,2933.0,219.0,557.0,1042.0,87.0,612.0,37.0,13.0,4.0,4.0,16.0,607.0,18454.0,7401.0,3801.0,5388.0,4442.0,770.0,158.0,1094.0,464.0,4979.0,2806.0,3801.0,2117.0,295.0,158.0,883.0,531.0,2422.0,1862.0,593.0,0.245545260157,7889.0,7401.0,488.0,253.0,21.0,37.0,16.0,43.0,118.0,0.0618582836861,0.01,0.062
4,4,Los Angeles,Alhambra,34,3.8,3.3,14.4,11.9,34,3.8,3.2,14.4,11.4,34,3.8,2.7,14.4,10.1,34,3.8,2.7,14.4,10.4,34,3.8,2.7,14.4,9.9,34,3.8,2.3,14.4,8.4,34,3.8,2.4,14.4,8.6,83089.0,39328.0,43761.0,39.3,37.4,41.0,2.82284286546,3.3,4319.0,15707.0,64219.0,22035.0,16459.0,11912.0,0.526676214661,0.18903826017900002,83089.0,80183.0,23521.0,1281.0,538.0,43957.0,451.0,31015.0,2109.0,1224.0,844.0,4212.0,4102.0,81.0,31.0,17.0,23.0,10.0,10805.0,82475.0,29217.0,13679.0,22761.0,13224.0,11006.0,2231.0,5812.0,1553.0,20594.0,8079.0,13679.0,5741.0,2097.0,613.0,4818.0,1725.0,8623.0,6479.0,2301.0,0.289392251516,30915.0,29217.0,1698.0,972.0,34.0,162.0,55.0,139.0,336.0,0.0549247937894,0.013000000000000001,0.053
5,5,Orange,Aliso Viejo,31,3.3,2.5,9.4,6.7,34,3.3,2.2,9.4,6.2,34,3.3,2.1,9.4,6.0,35,3.3,2.1,9.4,6.7,35,3.3,2.1,9.4,6.0,35,3.3,1.9,9.4,5.7,36,3.3,2.1,9.4,5.6,47823.0,23019.0,24804.0,35.1,34.6,35.6,2.60129641837,3.16,3689.0,12395.0,33788.0,6496.0,4162.0,2548.0,0.51866256822,0.259184911026,47823.0,45086.0,34437.0,967.0,151.0,6996.0,1043.0,1135.0,1548.0,874.0,956.0,791.0,649.0,89.0,35.0,17.0,14.0,23.0,2446.0,47354.0,18204.0,9358.0,14582.0,11780.0,2265.0,480.0,2945.0,1193.0,12115.0,6839.0,9358.0,5311.0,791.0,425.0,1966.0,1103.0,6089.0,4416.0,638.0,0.22342447726300002,18867.0,18204.0,663.0,270.0,31.0,135.0,33.0,104.0,90.0,0.035140721895400004,0.012,0.036000000000000004
6,6,Alpine,Alpine,25,14.5,13.3,24.0,22.0,25,14.5,11.8,24.0,19.6,25,14.5,8.0,24.0,15.9,25,14.5,7.6,24.0,16.4,25,14.5,8.1,24.0,14.0,25,14.5,8.3,24.0,13.8,25,14.5,8.3,24.0,19.5,14236.0,7040.0,7196.0,41.9,41.0,42.9,2.68635670732,3.09,751.0,3403.0,10301.0,3993.0,2880.0,1953.0,0.505479067154,0.23904186569299998,14236.0,13747.0,12424.0,167.0,222.0,319.0,35.0,24.0,161.0,35.0,11.0,19.0,34.0,39.0,6.0,10.0,11.0,12.0,576.0,14098.0,5248.0,3120.0,4234.0,3038.0,795.0,297.0,701.0,322.0,3903.0,1737.0,3120.0,1292.0,268.0,149.0,515.0,296.0,1345.0,1048.0,433.0,0.256188831318,5536.0,5248.0,288.0,111.0,1.0,73.0,7.0,46.0,50.0,0.05202312138730001,0.02,0.063
7,7,Modoc,Alturas,33,6.8,7.3,14.5,15.3,33,6.8,6.5,14.5,12.6,33,6.8,5.5,14.5,10.3,33,6.8,5.7,14.5,12.2,33,6.8,5.9,14.5,11.9,33,6.8,5.1,14.5,9.8,33,6.8,5.3,14.5,8.7,2827.0,1360.0,1467.0,39.9,38.4,41.6,2.27302100162,2.85,189.0,702.0,2018.0,816.0,625.0,432.0,0.518924655111,0.248319773612,2827.0,2696.0,2430.0,15.0,81.0,45.0,13.0,18.0,5.0,7.0,0.0,1.0,1.0,7.0,6.0,0.0,1.0,0.0,118.0,2814.0,1238.0,507.0,775.0,636.0,111.0,51.0,183.0,111.0,753.0,358.0,507.0,185.0,65.0,47.0,181.0,126.0,485.0,403.0,160.0,0.483240223464,1407.0,1238.0,169.0,47.0,7.0,20.0,5.0,24.0,66.0,0.120113717129,0.027999999999999997,0.078
8,8,Amador,Amador City,45,7.7,5.9,24.1,17.4,45,7.7,5.1,24.1,15.1,45,7.7,5.1,24.1,15.7,45,7.7,4.6,24.1,16.1,45,7.7,4.4,24.1,14.0,45,7.7,4.1,24.1,13.4,45,7.7,4.3,24.1,13.9,185.0,90.0,95.0,43.5,43.0,43.5,2.17647058824,2.74,12.0,37.0,142.0,59.0,41.0,25.0,0.513513513514,0.2,185.0,179.0,171.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,185.0,85.0,35.0,40.0,32.0,7.0,3.0,18.0,10.0,47.0,19.0,35.0,11.0,3.0,2.0,9.0,6.0,38.0,26.0,9.0,0.42105263157899997,108.0,85.0,23.0,3.0,0.0,4.0,0.0,11.0,5.0,0.21296296296300002,0.069,0.08800000000000001
9,9,Napa,American Canyon,38,6.9,5.1,42.5,28.1,38,6.9,4.3,42.5,23.7,38,6.9,3.6,42.5,21.6,38,6.9,2.8,42.5,20.2,38,6.9,3.2,42.5,21.0,39,6.9,3.1,42.5,19.2,39,6.9,2.9,42.5,17.6,19454.0,9526.0,9928.0,35.5,34.0,36.8,3.4290259855,3.78,1346.0,5496.0,13065.0,3929.0,2767.0,1865.0,0.5103320653850001,0.28251259381099997,19454.0,18170.0,7564.0,1535.0,142.0,6396.0,415.0,383.0,4938.0,38.0,71.0,190.0,361.0,176.0,15.0,104.0,30.0,27.0,2357.0,19398.0,5657.0,3527.0,6849.0,4704.0,2438.0,713.0,927.0,338.0,4613.0,2481.0,3527.0,1963.0,335.0,159.0,751.0,359.0,1044.0,765.0,309.0,0.208786779524,5982.0,5657.0,325.0,48.0,6.0,120.0,38.0,27.0,86.0,0.0543296556336,0.026000000000000002,0.038
10,10,Orange,Anaheim,37,8.2,7.6,16.3,14.4,37,8.2,6.7,16.3,12.8,37,8.2,5.9,16.3,12.1,37,8.2,6.1,16.3,13.3,37,8.2,5.8,16.3,12.1,37,8.2,5.6,16.3,11.7,38,8.2,5.7,16.3,11.6,336265.0,167249.0,169016.0,32.4,31.5,33.5,3.38482511649,3.79,25754.0,91917.0,228674.0,62079.0,45078.0,31222.0,0.502627392087,0.273346913892,336265.0,321401.0,177237.0,9347.0,2648.0,49857.0,4456.0,4738.0,11956.0,2082.0,6575.0,14706.0,5344.0,1607.0,227.0,184.0,766.0,430.0,80705.0,332708.0,98294.0,52518.0,110586.0,74633.0,44051.0,14416.0,27259.0,6906.0,74294.0,38266.0,52518.0,27717.0,7223.0,3190.0,14553.0,7359.0,24000.0,17448.0,6396.0,0.275675534417,104237.0,98294.0,5943.0,3915.0,140.0,819.0,217.0,243.0,609.0,0.057014303942,0.017,0.07200000000000001
11,11,Contra Costa,Antioch,44,4.2,4.0,22.1,18.6,44,4.2,3.9,22.1,18.3,44,4.2,3.6,22.1,18.7,44,4.2,3.6,22.1,19.6,44,4.2,3.6,22.1,18.0,44,4.2,3.8,22.1,20.0,44,4.2,2.8,22.1,14.8,102372.0,49807.0,52565.0,33.8,32.4,35.0,3.15354086568,3.52,7294.0,28807.0,68671.0,19818.0,13631.0,8998.0,0.513470480209,0.281395303403,102372.0,94473.0,50083.0,17667.0,887.0,10709.0,964.0,1392.0,5850.0,212.0,214.0,733.0,1344.0,817.0,81.0,137.0,210.0,389.0,14310.0,101708.0,32252.0,17010.0,35248.0,24283.0,10715.0,3853.0,6483.0,2690.0,25023.0,12731.0,17010.0,8384.0,2295.0,1131.0,5718.0,3216.0,7229.0,5296.0,1781.0,0.34145000392700003,34849.0,32252.0,2597.0,1027.0,47.0,580.0,118.0,84.0,741.0,0.0745215070734,0.027000000000000003,0.08199999999999999
12,12,San Bernardino,Apple Valley,36,6.6,5.1,36.0,27.3,36,6.6,4.6,36.0,23.8,36,6.6,3.9,36.0,21.4,36,6.6,3.7,36.0,23.2,37,6.6,3.9,36.0,21.7,37,6.6,3.6,36.0,20.0,38,6.6,3.6,36.0,20.2,69135.0,33855.0,35280.0,37,34.7,39.1,2.91016187813,3.32,4795.0,19306.0,46661.0,18769.0,14485.0,10665.0,0.5103059231939999,0.279250741303,69135.0,65521.0,47762.0,6321.0,779.0,2020.0,272.0,197.0,741.0,154.0,327.0,122.0,207.0,294.0,78.0,45.0,141.0,30.0,8345.0,68674.0,23598.0,12647.0,22328.0,15839.0,6060.0,2772.0,4041.0,1759.0,17710.0,7830.0,12647.0,5041.0,1513.0,811.0,3550.0,1978.0,5888.0,4743.0,2429.0,0.35619412516000004,26117.0,23598.0,2519.0,813.0,27.0,687.0,164.0,214.0,614.0,0.0964505877398,0.04,0.1
13,13,Los Angeles,Arcadia,33,9.3,6.5,21.9,14.7,33,9.3,5.1,21.9,11.6,33,9.3,3.9,21.9,9.6,33,9.3,4.1,21.9,9.7,33,9.3,4.0,21.9,9.0,33,9.3,6.0,21.9,13.8,33,9.3,5.9,21.9,13.6,56364.0,26889.0,29475.0,43.1,41.9,44.1,2.8328909759099994,3.26,2432.0,12290.0,42278.0,16699.0,12577.0,9214.0,0.5229401745800001,0.218046980342,56364.0,54779.0,18191.0,681.0,186.0,33353.0,1377.0,25050.0,1087.0,883.0,1937.0,776.0,2243.0,16.0,4.0,2.0,3.0,7.0,2352.0,55502.0,19592.0,11703.0,17147.0,11260.0,5136.0,847.0,1924.0,561.0,15005.0,6805.0,11703.0,5522.0,865.0,299.0,2437.0,984.0,4587.0,3855.0,1926.0,0.188537839824,20686.0,19592.0,1094.0,519.0,26.0,138.0,48.0,103.0,260.0,0.052886009861699994,0.011000000000000001,0.067
14,14,Humboldt,Arcata,41,3.7,3.3,6.3,5.6,42,3.7,3.2,6.3,5.4,44,3.7,3.0,6.3,5.1,44,3.7,3.1,6.3,5.6,44,3.7,2.5,6.3,4.5,44,3.7,2.8,6.3,5.0,44,3.7,2.8,6.3,5.1,17231.0,8581.0,8650.0,26.1,26.6,25.6,2.09808968974,2.73,622.0,2164.0,12176.0,2986.0,2147.0,1408.0,0.502002205328,0.125587603737,17231.0,16096.0,14094.0,351.0,393.0,454.0,22.0,147.0,62.0,71.0,31.0,28.0,93.0,35.0,16.0,6.0,8.0,5.0,769.0,15486.0,7381.0,1651.0,2443.0,1923.0,460.0,151.0,3551.0,839.0,2625.0,1164.0,1651.0,593.0,325.0,183.0,649.0,388.0,4756.0,2730.0,524.0,0.490549828179,7722.0,7381.0,341.0,110.0,15.0,30.0,9.0,84.0,93.0,0.044159544159500005,0.012,0.022000000000000002
15,15,Kern,Arvin,33,3.0,3.5,15.9,22.7,32,3.0,3.3,15.9,22.4,32,3.0,3.2,15.9,22.3,32,3.0,2.7,15.9,31.1,32,3.0,2.5,15.9,21.1,32,3.0,2.5,15.9,22.3,32,3.0,2.8,15.9,17.7,19304.0,10033.0,9271.0,24,23.7,24.3,4.48320719016,4.59,2229.0,7422.0,10719.0,2065.0,1447.0,986.0,0.48026315789499996,0.38447990053900005,19304.0,18495.0,10247.0,192.0,240.0,155.0,48.0,6.0,72.0,0.0,2.0,1.0,26.0,6.0,4.0,0.0,2.0,0.0,7655.0,18955.0,4228.0,2803.0,8279.0,6190.0,2565.0,966.0,1080.0,315.0,3804.0,2702.0,2803.0,2060.0,355.0,198.0,646.0,444.0,424.0,303.0,125.0,0.237601776462,4476.0,4228.0,248.0,100.0,7.0,58.0,12.0,15.0,56.0,0.05540661304740001,0.025,0.048
16,16,San Mateo,Atherton,41,11.4,6.0,48.9,23.6,41,11.4,5.2,48.9,20.1,41,11.4,4.9,48.9,18.3,41,11.4,5.1,48.9,25.3,41,11.4,4.5,48.9,17.2,41,11.4,4.5,48.9,15.1,41,11.4,5.0,48.9,22.0,6914.0,3397.0,3517.0,48.2,47.5,48.8,2.80214592275,3.03,282.0,1543.0,5047.0,2691.0,2121.0,1562.0,0.508678044547,0.223170378941,6914.0,6698.0,5565.0,75.0,7.0,911.0,154.0,399.0,89.0,87.0,61.0,40.0,81.0,45.0,20.0,4.0,2.0,19.0,95.0,6529.0,2330.0,1755.0,1897.0,1455.0,236.0,68.0,311.0,49.0,1912.0,744.0,1755.0,684.0,48.0,19.0,109.0,41.0,418.0,321.0,178.0,0.0806451612903,2530.0,2330.0,200.0,9.0,5.0,34.0,30.0,61.0,61.0,0.0790513833992,0.016,0.039
17,17,Placer,Auburn,36,7.4,6.8,10.6,10.1,36,7.4,5.7,10.6,8.4,41,7.4,5.5,10.6,8.8,42,7.4,5.1,10.6,11.1,43,7.4,5.3,10.6,10.9,43,7.4,4.6,10.6,9.4,43,7.4,5.2,10.6,10.1,13330.0,6296.0,7034.0,45.4,43.1,47.5,2.26636568849,2.85,681.0,2645.0,10226.0,4644.0,3504.0,2532.0,0.52768192048,0.19842460615200003,13330.0,12746.0,11863.0,100.0,129.0,240.0,28.0,69.0,52.0,48.0,16.0,3.0,24.0,9.0,5.0,1.0,0.0,3.0,405.0,13052.0,5759.0,2613.0,3256.0,2384.0,546.0,190.0,878.0,385.0,3474.0,1369.0,2613.0,907.0,257.0,143.0,604.0,319.0,2285.0,1845.0,801.0,0.33747260774300003,6139.0,5759.0,380.0,167.0,13.0,70.0,11.0,52.0,67.0,0.06189933213880001,0.02,0.065
18,18,Los Angeles,Avalon,25,7.1,5.4,14.7,10.9,25,7.1,5.0,14.7,10.5,25,7.1,5.4,14.7,12.5,25,7.1,5.1,14.7,12.8,25,7.1,3.7,14.7,9.2,27,7.1,4.4,14.7,11.9,26,7.1,6.2,14.7,10.5,3728.0,1890.0,1838.0,37.7,36.9,38.5,2.5261371351,3.25,258.0,960.0,2625.0,928.0,628.0,406.0,0.493025751073,0.257510729614,3728.0,3554.0,2313.0,20.0,22.0,49.0,2.0,18.0,13.0,4.0,3.0,0.0,9.0,13.0,0.0,8.0,0.0,5.0,1137.0,3721.0,1473.0,641.0,1109.0,855.0,253.0,96.0,245.0,115.0,891.0,448.0,641.0,290.0,90.0,55.0,160.0,103.0,582.0,461.0,125.0,0.352678571429,2266.0,1473.0,793.0,133.0,16.0,19.0,4.0,587.0,34.0,0.34995586937299994,0.047,0.107
19,19,Kings,Avenal,41,4.4,3.4,25.9,16.9,41,4.4,2.8,25.9,14.8,41,4.4,2.5,25.9,13.1,41,4.4,3.4,25.9,18.1,41,4.4,3.7,25.9,21.0,41,4.4,2.8,25.9,18.5,42,4.4,2.9,25.9,18.2,15505.0,11228.0,4277.0,34.2,36.8,25.0,4.087308730869999,4.26,1097.0,3315.0,11581.0,1803.0,1080.0,618.0,0.275846501129,0.213801999355,15505.0,15157.0,6044.0,1625.0,186.0,108.0,24.0,11.0,31.0,6.0,4.0,5.0,27.0,6.0,0.0,0.0,1.0,5.0,7188.0,9082.0,2222.0,1236.0,3627.0,2729.0,1245.0,541.0,752.0,247.0,1876.0,1238.0,1236.0,828.0,236.0,132.0,404.0,278.0,346.0,229.0,73.0,0.331179321486,2410.0,2222.0,188.0,66.0,7.0,30.0,3.0,27.0,55.0,0.07800829875519999,0.028999999999999998,0.051
20,20,Los Angeles,Azusa,29,6.3,5.9,18.7,17.2,29,6.3,5.6,18.7,17.0,29,6.3,4.6,18.7,13.9,29,6.3,4.3,18.7,13.4,29,6.3,4.0,18.7,11.5,29,6.3,4.2,18.7,12.7,29,6.3,4.2,18.7,14.1,46361.0,22704.0,23657.0,29.3,28.5,30.1,3.42552689525,3.85,3488.0,12407.0,29927.0,7537.0,5278.0,3576.0,0.510278035418,0.267617178232,46361.0,44187.0,26715.0,1499.0,562.0,4054.0,325.0,743.0,1887.0,225.0,286.0,177.0,411.0,87.0,23.0,15.0,23.0,26.0,11270.0,43559.0,12716.0,6310.0,15024.0,9866.0,6006.0,2184.0,3503.0,995.0,9599.0,5000.0,6310.0,3379.0,1014.0,443.0,2275.0,1178.0,3117.0,2238.0,761.0,0.3242,13386.0,12716.0,670.0,421.0,11.0,98.0,31.0,17.0,92.0,0.050052293440899995,0.013999999999999999,0.066
21,21,Kern,Bakersfield,43,5.4,5.5,14.2,13.8,43,5.4,5.0,14.2,13.1,43,5.4,4.5,14.2,12.7,43,5.4,4.4,14.2,14.3,43,5.4,4.3,14.2,12.7,43,5.4,4.3,14.2,12.5,42,5.4,3.9,14.2,11.2,347483.0,170196.0,177287.0,30,29.0,31.0,3.09620991254,3.56,31344.0,109479.0,221089.0,60361.0,42902.0,29336.0,0.5102033768559999,0.315062895163,347483.0,330415.0,197349.0,28368.0,5102.0,21432.0,7328.0,1816.0,7046.0,551.0,1352.0,1140.0,2199.0,478.0,132.0,111.0,104.0,131.0,77686.0,344088.0,111132.0,57276.0,124094.0,93851.0,31712.0,13050.0,19874.0,9004.0,83154.0,46248.0,57276.0,30623.0,7829.0,4502.0,18049.0,11123.0,27978.0,21800.0,7354.0,0.33785244767300004,120725.0,111132.0,9593.0,4428.0,164.0,2187.0,387.0,427.0,2000.0,0.0794615862497,0.032,0.09
22,22,Los Angeles,Baldwin Park,38,5.0,3.8,26.2,16.8,39,5.0,3.9,26.2,17.0,39,5.0,3.6,26.2,16.9,39,5.0,4.9,26.2,23.0,39,5.0,4.5,26.2,19.0,39,5.0,3.7,26.2,15.4,39,5.0,3.7,26.2,14.9,75390.0,37401.0,37989.0,30.5,29.3,31.7,4.362324742569999,4.45,5905.0,22571.0,48800.0,12985.0,9133.0,6059.0,0.503899721448,0.299389839501,75390.0,72566.0,33119.0,913.0,674.0,10696.0,62.0,3900.0,3439.0,122.0,119.0,1895.0,1159.0,85.0,12.0,15.0,24.0,34.0,27079.0,74984.0,17189.0,10097.0,27038.0,15829.0,15205.0,5802.0,5455.0,1196.0,15155.0,7843.0,10097.0,5536.0,1700.0,720.0,3358.0,1587.0,2034.0,1474.0,648.0,0.294147647584,17736.0,17189.0,547.0,232.0,8.0,137.0,33.0,15.0,122.0,0.030841226883200002,0.013000000000000001,0.033
23,23,Riverside,Banning,36,6.1,5.5,30.7,29.7,36,6.1,5.2,30.7,29.8,36,6.1,4.4,30.7,27.6,36,6.1,4.1,30.7,30.9,36,6.1,4.1,30.7,29.8,36,6.1,4.1,30.7,27.2,36,6.1,4.2,30.7,29.8,29603.0,14300.0,15303.0,42.3,38.5,45.9,2.60546226241,3.19,1840.0,6777.0,21591.0,10824.0,9265.0,7661.0,0.516940850589,0.228929500388,29603.0,28162.0,19164.0,2165.0,641.0,1549.0,26.0,64.0,312.0,61.0,82.0,16.0,988.0,39.0,11.0,4.0,16.0,8.0,4604.0,28238.0,10838.0,5106.0,7836.0,5406.0,2785.0,1182.0,1673.0,775.0,7186.0,2548.0,5106.0,1517.0,592.0,294.0,1488.0,737.0,3652.0,3092.0,2085.0,0.40463108320299995,12144.0,10838.0,1306.0,424.0,26.0,320.0,54.0,134.0,348.0,0.10754281949899999,0.040999999999999995,0.109
24,24,San Bernardino,Barstow,36,8.9,7.3,30.6,23.0,36,8.9,6.0,30.6,18.4,34,8.9,4.4,30.6,14.1,34,8.9,5.4,30.6,18.0,34,8.9,5.6,30.6,17.7,35,8.9,5.0,30.6,16.3,35,8.9,5.3,30.6,16.5,22639.0,11296.0,11343.0,31.1,29.9,32.2,2.7546072974599998,3.34,2089.0,6739.0,14792.0,4680.0,3421.0,2419.0,0.5010380317149999,0.297672158664,22639.0,20873.0,11840.0,3313.0,477.0,723.0,28.0,80.0,375.0,60.0,99.0,19.0,62.0,278.0,15.0,121.0,124.0,18.0,4242.0,22271.0,8085.0,3182.0,7544.0,5677.0,1944.0,906.0,1516.0,759.0,5413.0,2766.0,3182.0,1416.0,612.0,353.0,1619.0,997.0,2672.0,2174.0,670.0,0.48806941431699996,9555.0,8085.0,1470.0,790.0,26.0,210.0,47.0,65.0,332.0,0.153846153846,0.05,0.16
25,25,Riverside,Beaumont,37,9.7,5.6,42.1,31.5,37,9.7,4.8,42.1,30.4,39,9.7,4.2,42.1,27.6,39,9.7,3.5,42.1,27.6,39,9.7,3.6,42.1,26.7,39,9.7,3.5,42.1,25.0,39,9.7,3.7,42.1,24.2,36877.0,17985.0,18892.0,32.5,31.8,33.1,3.08473858148,3.44,3369.0,11121.0,24414.0,7707.0,5769.0,3889.0,0.512297638094,0.301570084334,36877.0,34969.0,23163.0,2276.0,544.0,2845.0,186.0,362.0,1206.0,92.0,261.0,170.0,568.0,83.0,19.0,37.0,8.0,19.0,6058.0,36403.0,11801.0,7152.0,12397.0,9584.0,3186.0,1210.0,1867.0,873.0,9312.0,4810.0,7152.0,3543.0,708.0,432.0,1452.0,835.0,2489.0,1906.0,695.0,0.26340956341,12908.0,11801.0,1107.0,184.0,5.0,402.0,70.0,165.0,281.0,0.08576076851560001,0.043,0.059000000000000004
26,26,Los Angeles,Bell,37,3.5,3.8,16.6,18.2,37,3.5,3.3,16.6,15.3,37,3.5,2.9,16.6,16.4,37,3.5,3.3,16.6,19.8,37,3.5,2.8,16.6,14.0,37,3.5,2.8,16.6,14.1,38,3.5,2.8,16.6,8.4,35477.0,17887.0,17590.0,28.9,28.2,29.5,3.9343855693300003,4.15,3122.0,11363.0,22211.0,5116.0,3555.0,2396.0,0.495814189475,0.320292020182,35477.0,33916.0,19098.0,337.0,315.0,259.0,20.0,20.0,116.0,12.0,54.0,11.0,26.0,8.0,5.0,1.0,2.0,0.0,13899.0,34898.0,8870.0,4659.0,13771.0,9213.0,5408.0,1939.0,2190.0,888.0,7557.0,4557.0,4659.0,2930.0,1019.0,530.0,1879.0,1097.0,1313.0,967.0,388.0,0.35703313583499996,9217.0,8870.0,347.0,214.0,10.0,43.0,5.0,12.0,63.0,0.0376478246718,0.016,0.033
